,GroupeEtMention,Titre,Date,Nom du contact,orga du contact,Url,Children,Parent,Fcats,BroAndSisters
19, Zone atelier Armorique,"Résaux hydrographiques (baie du Mont Saint-Michel, Marais de la Folie, 2008) - Zone Atelier Armorique ZAAr",2018-06-14T16:43:51,['Cendrine Mony'],['ECOBIO UMR 6553 CNRS Université de Rennes 1'],['https://www.osuris.fr/geoserver/ecobio/wmsservice=WMS&version=1.1.0&request=GetMap&layers=ecobio:Carto_lineaire_reseaux_hydro_du_mont_St-Michel%20_La_folie&styles=&bbox=368358.14013123086828595.657073521369310.58320356936831244.011776578&width=184&height=512&srs=EPSG:2154&format=application/openlayers'],[],[],[],[]
20, Zone atelier bassin du Rhône,Suivi de la qualité des eaux de la Morcille à la station de Saint Joseph,2019-07-08T11:55:49,['Véronique GOUY'],['IRSTEA'],['https://saam.irstea.fr/'],[],[],[],[]
21, Zone atelier bassin du Rhône,Inspection des installations classées (ICPE) en Languedoc Roussillon,2012-09-07T13:57:54,[],[],['http://www.rdbrmc.com/RESEAUX/presentation/main/index.php'],[],[],[],[]
22, Zone atelier bassin du Rhône,Contrôle officiel des installations classées (ICPE) de l'Aude,2012-09-04T10:57:23,[],[],['http://www.rdbrmc.com/RESEAUX/presentation/main/index.php'],[],[],[],[]
23, Zone atelier bassin du Rhône,Culture de l'eau et du cours d'eau - Enquête par questionnaire auprès des habitants de la Vallée du Gier (2010),2016-07-12T11:33:20,['Anne HONEGGER'],['UMR 5600'],['http://www.graie.org/zabr/zabrdoc/AccordCadre-fiches/2010/Synthese_A20_2010.pdf'],[],[],[],[]
24, Zone atelier Armorique,"Suivi de carabes dans les haies (Pleine-Fougères, secteur B, 2007-...) - Zone Atelier Armorique ZAAr",2021-03-26T14:00:02,"['Jean Luc Roger', 'Audrey Alignier']",['BAGAP UMR 0980 INRAE Agrocampus Ouest ESABAGAP UMR 0980 INRAE Agrocampus Ouest ESAZone Atelier Armorique (ZAAr)'],['http://www.osuris.fr/geonetwork/srv/fre/resources.getuuid=107438bf-9806-4e60-a460-04e4f3111245&fname=&access=public'],[],[],[],[]
25, Zone atelier Pyrénées Garonne,Assolement des parcelles agricoles de la ferme expérimentale INRAe de Saint Laurent de la Prée (17). Campagnes culturales 2008/2009 jusqu'à 2020/2021.,2022-10-17T10:54:03Z,"['Daphné Durant', 'Daphné Durant']","['INRAE', 'INRAE']",['https://hal.inrae.fr/hal-03140216v1'],[],[],[],[]
26, Zone atelier Brest Iroise,"Trait de côte - Sillon du Faou, Rosnoën (Finistère) 1948-2006",2019-03-06T10:48:31Z,['Pierre STEPHAN'],['UMR6554 LETG CNRS'],"['https://tel.archives-ouvertes.fr/file/index/docid/355047/filename/THESE_STEPHAN.pdf', 'https://geomorphologie.revues.org/9416#tocto1n2', 'https://www.univ-brest.fr/digitalAssets/40/40131_Stephan_et-al_Rapport_FRAC-GPN_2012.pdf', 'https://portail.indigeo.fr/geoserver/LETG-BREST/wms', 'https://portail.indigeo.fr/geoserver/LETG-BREST/wfs']",[],[],[],[]
27, Zone atelier Armorique,"Occupation du sol (Pleine-Fougères, 2003) - Zone Atelier Armorique ZAAr",2018-06-13T16:43:15,['nabucet jean'],['LETG-Rennes Costel'],['https://www.osuris.fr/geoserver/zaar/wms'],[],[],"['https://www.osuris.fr/geonetwork/srv/en/cswservice=CSW&request=GetRecordById&version=2.0.2&outputSchema=', 'http://www.isotc211.org/2005/gmd&elementSetName=full&id=870903a7-3b9c-4d1a-9f09-073e092b8875']",[]
28, Zone atelier Pyrénées Garonne,Data from:Optimising spatial distribution of mass-flowering patches at the landscape scale to increase crop pollination.,,['James Desaegher'],"['INRAE, ENSAT']","['http://dx.doi.org/10.15454/UNVSGN ', 'https://pygar.omp.eu', 'https://naturalcapitalproject.stanford.edu/software/invest']",[],[],"['http://147.100.164.43:8080/geonetwork/srv/eng/cswservice=CSW&request=GetRecordById&version=2.0.2&outputSchema=', 'http://www.isotc211.org/2005/gmd&elementSetName=full&id=pacse_jae_dsd']",[]
29, Zone atelier bassin du Rhône,Photographies aériennes diachroniques de la basse vallée de l'Ain (1938-2012),2016-10-19T13:39:28,['Fanny Arnaud'],['UMR 5600 EVS - ENS de Lyon'],"['http://onlinelibrary.wiley.com/doi/10.1002/rra.2689/abstract', 'https://tel.archives-ouvertes.fr/tel-00221368/document', 'http://www.bassevalleedelain.com/']",[],[],[],[]
30, Zone atelier Armorique,"Réseau de capteurs de température (espace intra-urbain rennais, 2013) - Zone Atelier Armorique ZAAr",2019-07-02T21:33:15,"['Foissard Xavier', 'Dubreuil Vincent']",['LETG-RENNES UMR 6554 CNRS Université de Rennes 2LETG-RENNES UMR 6554 CNRS Université de Rennes 2'],['https://www.osuris.fr/geoserver/zaar/wms'],[],[],[],[]
31, Zone atelier bassin du Rhône,Contrôle des installations classées piscicoles des Pyrénées-Orientales,2012-09-04T10:53:38,[],[],['http://www.rdbrmc.com/RESEAUX/presentation/main/index.php'],[],[],[],[]
32, Zone Atelier Seine,,2020-01-28T12:44:31,['Laurence LESTEL'],['Sorbonne Université - Metis'],['https://georchestra.archiseine.metis.upmc.fr/geoserver/wms'],[],[],[],[]
33, Zone atelier bassin du Rhône,Réseau hydrobiologique et  piscicole,2012-08-08T16:59:40,[],[],['http://www.rdbrmc.com/RESEAUX/presentation/main/index.php'],[],[],[],[]
34, Zone atelier bassin du Rhône,Photothèque d'une classe de CM2 à l'Île de la Platière (2014),2017-05-03T07:51:11Z,['Fanny Arnaud'],['UMR 5600 EVS - ENS de Lyon'],"['http://ohm-vr.org/ftp/Fiche_de_synthese/APR_2014/11_WEB_Phototek_fiche_OHMVR_VF.pdf', 'http://www.graie.org/osr/IMG/pdf/phototek_v23_12_2015.pdf', 'http://ohm-vr.org/']",[],[],[],[]
35, Zone atelier bassin du Rhône,Réseau de suivi qualitatif des étangs de la Palme et de Leucate,2012-08-07T15:36:28,[],"[""Conseil Général de l'Aude""]",['http://www.rdbrmc.com/RESEAUX/presentation/main/index.php'],[],[],[],[]
36, Zone atelier Armorique,"Mini réseau de haie simple (Pleine-Fougères, secteur B, 2013) - Zone Atelier Armorique ZAAr",2018-06-13T16:15:12,['Jean Nabucet'],['LETG-RENNES UMR 6554 CNRS Université de Rennes 2'],['https://www.osuris.fr/geoserver/ecobio/wmsservice=WMS&version=1.1.0&request=GetMap&layers=ecobio:Suivi_bordure_Mini_Reseau_B_Haie_spl_ZAA&styles=&bbox=362881.127994086656832571.307521242363996.464406561466833785.357969138&width=470&height=512&srs=EPSG:2154&format=application/openlayers'],[],[],[],[]
37, Zone atelier Brest Iroise,MNT de l’anse de Troaon (rade de Brest) en janvier2007,2019-02-07T16:11:20Z,"['Pierre, Stéphan']",['UMR6554 LETG CNRS'],"['https://cat.indores.fr/geonetwork/srv/api/records/918ed081-0ea3-48f8-b7b4-2c3a0fdb70c2/attachments/TROA_2007_01_02.tif', 'https://cat.indores.fr/geonetwork/srv/api/records/918ed081-0ea3-48f8-b7b4-2c3a0fdb70c2/attachments/TROA_2007_01_02.txt', 'https://cat.indores.fr/geonetwork/srv/api/records/918ed081-0ea3-48f8-b7b4-2c3a0fdb70c2/attachments/TROA_2007_01_02_LR.txt', 'https://cat.indores.fr/geonetwork/srv/api/records/918ed081-0ea3-48f8-b7b4-2c3a0fdb70c2/attachments/Erreurs_mesures_Troaon.pdf', 'https://cat.indores.fr/geonetwork/srv/api/records/918ed081-0ea3-48f8-b7b4-2c3a0fdb70c2/attachments/MNT_TROAON_2007_01_L1.zip', 'https://portail.indigeo.fr/geoserver/LETG-BREST/wms', 'https://portail.indigeo.fr/geoserver/LETG-BREST/wcs']",[],[],[],[]
38, Zone atelier Armorique,Hedgerow vegetation (metacommunity) - Occurrence - from 1994 to 2017,2021-01-26T09:44:53,['Audrey Alignier'],['INRAE BAGAP'],"['https://www.nature.com/articles/s41467-020-17171-y', 'http://doi.org/10.23728/b2share.f87c5e9c27e940ee9b98900e302f0bb8', 'https://doi.org/10.1016/j.agee.2015.06.008']",[],[],[],"['https://www.osuris.fr/geoserver/ecobio/wms ', 'https://doi.org/10.1016/j.ecolind.2017.11.046']"
39, Zone atelier bassin du Rhône,Caractéristiques de sédimentation dans les casiers Girardon des Vieux Rhône (2014),2019-05-02T11:51:18Z,['Fanny Arnaud'],['UMR 5600 EVS - ENS de Lyon'],"['http://ohm-vr.org/', 'http://ohm-vr.org/ftp/Fiche_de_synthese/APR_2013/5.Raepple_ficheCOS.pdf']",[],[],[],[]
40, Zone atelier Armorique,"Relevés de banques de graines en bandes enherbées expérimentales (Pleine-Fougères, 2010) - Zone Atelier Armorique ZAAr",2018-03-15T14:31:31,"['Cendrine Mony', 'Françoise Le Moal']",['ECOBIO UMR 6553 CNRS Université de Rennes 1ECOBIO UMR 6553 CNRS Université de Rennes 1'],[],[],[],[],[]
41, Zone atelier bassin du Rhône,Exploration statistique des combinaisons « territoires-sinistres » des enjeux territoriaux face aux inondations du Rhône aval (2015),2022-01-04T14:04:57Z,['Fanny Arnaud'],['UMR 5600 EVS - ENS de Lyon'],['http://ohm-vr.org/'],[],[],[],[]
42, Zone atelier bassin du Rhône,Puissance spécifique des Vieux Rhône (1860-2006),2016-11-21T15:17:42,['Fanny Arnaud'],['UMR 5600 EVS - ENS de Lyon'],"['http://www.graie.org/osr/IMG/pdf/Atlas_synthese.pdf', 'http://www.graie.org/osr/IMG/pdf/Rapport_de_synthese.pdf', 'http://www.graie.org/osr/']",[],[],[],[]
43, Zone atelier bassin du Rhône,"Evolution des surfaces en eau, sédimentées et végétalisées dans les casiers Girardon du Vieux Rhône de Péage-de-Roussillon (1974-2009)",2023-08-17T14:18:08.243Z,['Fanny Arnaud'],['UMR 5600 EVS - ENS de Lyon'],"['http://ohm-vr.org/', 'http://www.graie.org/ISRivers/docs/papers/2018/2P216-012SEI.pdf', 'http://ohm-vr.org/ftp/Fiche_de_synthese/APR_2016/27_WEB_OHMVR_Seignemartin.pdf', 'http://ohm-vr.org/ftp/Fiche_de_synthese/APR_2017/35_WEB_OHMVR_2017_Seignemartin_VF_DRM.pdf']",[],[],[],[]
44, Zone atelier Armorique,"Relevés Parasitoides-Pucerons (ZAAr, 2015) - Zone Atelier Armorique ZAAr",2018-07-04T10:28:58,"['Cécile Le Lann', 'Romain GEORGES']",['ECOBIO UMR 6553 CNRS Université de Rennes 1ECOBIO UMR 6553 CNRS Université de Rennes 1'],['https://www.osuris.fr/geoserver/zaar/wms'],[],[],[],[]
45, Zone Atelier Seine,,2020-02-05T13:01:26,['Laurence LESTEL'],['Sorbonne Université - UMR 7619 Metis'],['https://georchestra.archiseine.metis.upmc.fr/geoserver/wms'],[],[],[],[]
46, Zone atelier bassin du Rhône,Suivi de l'autosurveillance en Rhône Alpes,2012-08-08T18:36:38,[],[],['http://www.rdbrmc.com/RESEAUX/presentation/main/index.php'],[],[],[],[]
47, Zone atelier Brest Iroise,Levé SMF Traverse de l'Hôpital (juin 2009),2019-02-11T18:11:24Z,"[""France Floc'h""]",['IUEM - Institut Universitaire Européen de la Mer'],['https://portail.indigeo.fr/geoserver/wcs'],[],[],[],[]
48, Zone atelier Brest Iroise,"Zones d'alimentation des couples de craves à bec rouge, Ouessant (1999)",2019-02-08T13:22:07Z,['Mathias ROUAN'],['UMR6554 LETG CNRS'],"['https://portail.indigeo.fr/geoserver/wms', 'https://portail.indigeo.fr/geoserver/wfs']",[],[],[],[]
49, Zone atelier Brest Iroise,Levé SMF Keraliou (juin 2009),2019-02-11T18:07:47Z,"[""France Floc'h""]",['IUEM - Institut Universitaire Européen de la Mer'],['http://geosu-iuem.univ-brest.fr/geoserver/wcs'],[],[],[],[]
50, Zone atelier Brest Iroise,"Suivi pluri-décennal du Sillon des Anglais (Landévennec, Finistère) à partir de modèles numériques de terrain, période 2005 - 2024.",2024-07-09T11:10:30,['Indigeo'],['UMR6554 LETG CNRS'],"['https://doi.org/10.35110/5edfd6f0-9daa-424b-b6bc-42160e71c673', 'https://cat.indores.fr/geonetwork/srv/api/records/5edfd6f0-9daa-424b-b6bc-42160e71c673/attachments/SDANGLAIS_200508.zip', 'https://cat.indores.fr/geonetwork/srv/api/records/5edfd6f0-9daa-424b-b6bc-42160e71c673/attachments/SDANGLAIS_200512.zip', 'https://cat.indores.fr/geonetwork/srv/api/records/5edfd6f0-9daa-424b-b6bc-42160e71c673/attachments/SDANGLAIS_200607.zip', 'https://cat.indores.fr/geonetwork/srv/api/records/5edfd6f0-9daa-424b-b6bc-42160e71c673/attachments/SDANGLAIS_200701.zip', 'https://cat.indores.fr/geonetwork/srv/api/records/5edfd6f0-9daa-424b-b6bc-42160e71c673/attachments/SDANGLAIS_200712.zip', 'https://cat.indores.fr/geonetwork/srv/api/records/5edfd6f0-9daa-424b-b6bc-42160e71c673/attachments/SDANGLAIS_201106.zip', 'https://cat.indores.fr/geonetwork/srv/api/records/5edfd6f0-9daa-424b-b6bc-42160e71c673/attachments/SDANGLAIS_201507.zip', 'https://cat.indores.fr/geonetwork/srv/api/records/5edfd6f0-9daa-424b-b6bc-42160e71c673/attachments/SDANGLAIS_201806.zip', 'https://cat.indores.fr/geonetwork/srv/api/records/5edfd6f0-9daa-424b-b6bc-42160e71c673/attachments/SDANGLAIS_202007.zip', 'https://cat.indores.fr/geonetwork/srv/api/records/5edfd6f0-9daa-424b-b6bc-42160e71c673/attachments/SDANGLAIS_202207.zip', 'https://hal.science/hal-04179961', 'https://hal.archives-ouvertes.fr/hal-03473378', 'https://hal.science/hal-02129541', 'https://doi.org/10.1007/978-3-319-13716-2_15', 'https://doi.org/10.4000/geomorphologie.10246', 'http://doi.org/10.5150/jngcgc.2012.096-S', 'https://doi.org/10.4000/geomorphologie.9416', 'https://doi.org/10.1080/19648189.2008.9693002', 'https://doi.org/10.5150/jngcgc.2006.041-S', 'https://cat.indores.fr/geonetwork/srv/api/records/5edfd6f0-9daa-424b-b6bc-42160e71c673/attachments/StephanP_FichautB_SuanezS_Mengleuz_SGMB_2005.pdf', 'https://cat.indores.fr/geonetwork/srv/api/records/5edfd6f0-9daa-424b-b6bc-42160e71c673/attachments/StephanP_SuanezS_FichautB_Mengleuz_CGML_2005.pdf', 'https://cat.indores.fr/geonetwork/srv/api/records/5edfd6f0-9daa-424b-b6bc-42160e71c673/attachments/StephanP_mobilit%C3%A9_cordons_littoraux_PAB_2007.pdf', 'https://cat.indores.fr/geonetwork/srv/api/records/5edfd6f0-9daa-424b-b6bc-42160e71c673/attachments/FICHE_PC_SDANGLAIS.pdf', 'https://cat.indores.fr/geonetwork/srv/api/records/5edfd6f0-9daa-424b-b6bc-42160e71c673/attachments/SDANGLAIS_202407.zip']",[],[],[],[]
51, Zone atelier Armorique,"Relevés de macroinvertébrés benthiques (Pleine-Fougères, 2005) - Zone Atelier Armorique ZAAr",2021-10-06T10:35:45,"['Christophe Piscart', 'Françoise Le Moal']",['ECOBIO UMR 6553 CNRS Université de Rennes 1ECOBIO UMR 6553 CNRS Université de Rennes 1'],['https://www.osuris.fr/geoserver/zaar/wms'],[],[],[],[]
52, Zone atelier Armorique,"Relevés Parasitoides-Pucerons (ZAAr, 2016-2017) - Zone Atelier Armorique ZAAr",2018-07-04T10:44:25,"['Cécile Le Lann', 'Romain GEORGES']",['ECOBIO UMR 6553 CNRS Université de Rennes 1ECOBIO UMR 6553 CNRS Université de Rennes 1'],['https://www.osuris.fr/geoserver/zaar/wms'],[],[],[],[]
53, Zone atelier Alpes,"SOERE OLA, Observatory on Alpine LAkes",2018-11-14T15:44:47,['Ghislaine MONET'],['INRA'],"['http://www6.inra.fr/soere-ola', 'https://si-ola.inra.fr/si_lacs/login.jsf']",[],[],[],[]
