,Identifiant,GroupeEtMention,Titre,Date,Nom du contact,orga du contact,Url,Children,Parent,Fcats,BroAndSisters,Store
11,fb1263ef-eee6-4e74-b1d6-fe449f31daa9, Zone atelier Armorique,"Image DSM drone (La Timbertière,2020-05-07) - Zone Atelier Armorique ZAAr",2022-09-01T16:37:20,['Thomas Houet'],['LETG UMR 6554 CNRS'],"['https://portail.indigeo.fr/geoserver/D2T/owsservice=WMS', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS&request=GetCoverage&version=2.0.1&CoverageId=timbertiere_2020_05_07_dsm&format=image/geotiff']",[],"['https://portail.indigeo.fr/geoserver/D2T/owsservice=WMS ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS&request=GetCoverage&version=2.0.1&CoverageId=timbertiere_2020_05_25_dsm&format=image/geotiff ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WMS ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS&request=GetCoverage&version=2.0.1&CoverageId=timbertiere_2020_05_25_rgb&format=image/geotiff ', 'https://portail.indigeo.fr/geoserver/D2T/wms ', 'https://portail.indigeo.fr/geoserver/D2T/wcs ', 'https://portail.indigeo.fr/geoserver/D2T/wcsservice=WCS&version=2.0.1&request=GetCoverage&CoverageId=timbertiere_2020_07_07_dsm&format=image/geotiff ', 'https://portail.indigeo.fr/geoserver/D2T/wms ', 'https://portail.indigeo.fr/geoserver/D2T/wcs ', 'https://portail.indigeo.fr/geoserver/D2T/wcsservice=WCS&version=2.0.1&request=GetCoverage&CoverageId=timbertiere_2020_05_07_rgb&format=image/geotiff ', 'https://portail.indigeo.fr/geoserver/D2T/wms ', 'https://portail.indigeo.fr/geoserver/D2T/wcs ', 'https://portail.indigeo.fr/geoserver/D2T/wcsservice=WCS&version=2.0.1&request=GetCoverage&CoverageId=timbertiere_2020_07_07_rgb&format=image/geotiff ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WMS ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS&request=GetCoverage&version=2.0.1&CoverageId=timbertiere_2020_05_25_thermique2&format=image/geotiff ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WMS ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS&request=GetCoverage&version=2.0.1&CoverageId=timbertiere_2020_05_25_thermique1&format=image/geotiff ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WMS ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS&request=GetCoverage&version=2.0.1&CoverageId=timbertiere_2020_07_07_thermique&format=image/geotiff ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WMS ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS&request=GetCoverage&version=2.0.1&CoverageId=timbertiere_2020_05_07_thermique&format=image/geotiff']",[],['https://doi.org/10.35110/57833b75-9ed7-4e03-8673-4c48ea7d2159'],à déterminer
12,a3b7bf12-9a72-4423-8ba6-6d33b79969b8, Zone atelier bassin du Rhône,Redevance sur la dérivation des cours d'eau,2012-08-02T12:06:30,"[""Agence de L'Eau""]","[""Agence de l'Eau""]",['http://www.rdbrmc.com/RESEAUX/presentation/main/index.php'],[],[],[],[],à déterminer
13,827a6dde-c69c-4c84-961f-f7cfb75d06e9, Zone atelier Pyrénées Garonne,"Relevés de l'activité-densité et des flux de carabes aux interfaces entre parcelles cultivées et leurs bordures, au sud de l'Ille et Vilaine",2017-10-26T15:18:44Z,['Stéphanie AVIRON'],['INRA'],['http://'],[],[],[],[],à déterminer
14,f2ab4a80-923a-4e69-925e-de54218d5ee4, Zone atelier Armorique,"Relevés de papillons en parcelles agricoles FARMLAND (Ille et Vilaine, 2013-2014) - Zone Atelier Armorique ZAAr",2021-03-19T11:06:59,"['Georges Romain', 'Bertrand Colette', 'Françoise Burel', 'Françoise Le Moal']",['ECOBIO UMR 6553 CNRS Université de Rennes 1BAGAP UMR 0980 INRAE Agrocampus Ouest ESAECOBIO UMR 6553 CNRS Université de Rennes 1ECOBIO UMR 6553 CNRS Université de Rennes 1Zone Atelier Armorique (ZAAr)'],"['https://www.osuris.fr/geoserver/ecobio/wms', 'https://doi.org/10.1073/pnas.1906419116']",[],[],[],[],à déterminer
15,653195e4-7829-44ea-b115-9e6541afefdb, Zone atelier Brest Iroise,Routes du Pays de Brest 1952,2016-06-21T09:08:14Z,['Thibault Goriaud'],['UMR6554 LETG CNRS'],"['https://cat.indores.fr/geonetwork/srv/api/records/653195e4-7829-44ea-b115-9e6541afefdb/attachments/Route_1952.zip', 'https://portail.indigeo.fr/geoserver/wms', 'https://portail.indigeo.fr/geoserver/wfs']",[],[],[],[],à déterminer
16,be71e66c-425d-48a7-b904-c1b1f4405714, Zone atelier Brest Iroise,MNT de l’anse de Troaon (rade de Brest) en décembre 2004,2019-02-07T16:13:46Z,"['Pierre, Stéphan']",['UMR6554 LETG CNRS'],"['https://cat.indores.fr/geonetwork/srv/api/records/be71e66c-425d-48a7-b904-c1b1f4405714/attachments/TROA_2004_12_10.tif', 'https://cat.indores.fr/geonetwork/srv/api/records/be71e66c-425d-48a7-b904-c1b1f4405714/attachments/TROA_2004_12_10.txt', 'https://cat.indores.fr/geonetwork/srv/api/records/be71e66c-425d-48a7-b904-c1b1f4405714/attachments/TROA_2004_12_10_LR.txt', 'https://cat.indores.fr/geonetwork/srv/api/records/be71e66c-425d-48a7-b904-c1b1f4405714/attachments/Erreurs_mesures_Troaon.pdf', 'https://cat.indores.fr/geonetwork/srv/api/records/be71e66c-425d-48a7-b904-c1b1f4405714/attachments/MNT_TROAON_2005_01_L1.zip', 'https://portail.indigeo.fr/geoserver/LETG-BREST/wms', 'https://portail.indigeo.fr/geoserver/LETG-BREST/wcs']",[],[],[],[],à déterminer
17,df7ca5da-1dcf-4fca-8d25-f072b15e1acb, Zone atelier bassin du Rhône,Mappes sardes du Haut-Rhône (1728-1738),2023-12-15T10:02:28.522Z,['Fanny Arnaud'],['UMR 5600 EVS - ENS de Lyon'],['http://ohm-vr.org/'],[],[],[],[],à déterminer
18,0a8a1906-ba73-43d3-adde-27ac469b19b6, Zone atelier Brest Iroise,"Trait de côte - Sillon du Loc'h, Landévennec (Finistère) 1948-2006",2021-05-11T14:43:47Z,['Pierre STEPHAN'],['UMR6554 LETG CNRS'],"['https://tel.archives-ouvertes.fr/file/index/docid/355047/filename/THESE_STEPHAN.pdf', 'https://www.univ-brest.fr/digitalAssets/40/40004_Stephan_et-al_BSGMS_2005.pdf', 'https://geomorphologie.revues.org/9416#tocto1n2', 'https://geomorphologie.revues.org/10246', 'https://www.univ-brest.fr/digitalAssets/40/40131_Stephan_et-al_Rapport_FRAC-GPN_2012.pdf', 'https://portail.indigeo.fr/geoserver/LETG-BREST/wms', 'https://portail.indigeo.fr/geoserver/LETG-BREST/wfs']",[],[],[],[],à déterminer
19,4a01b8ab-07b7-4e68-ae18-673f393573f4, Zone atelier Armorique,"Résaux hydrographiques (baie du Mont Saint-Michel, Marais de la Folie, 2008) - Zone Atelier Armorique ZAAr",2018-06-14T16:43:51,['Cendrine Mony'],['ECOBIO UMR 6553 CNRS Université de Rennes 1'],['https://www.osuris.fr/geoserver/ecobio/wmsservice=WMS&version=1.1.0&request=GetMap&layers=ecobio:Carto_lineaire_reseaux_hydro_du_mont_St-Michel%20_La_folie&styles=&bbox=368358.14013123086828595.657073521369310.58320356936831244.011776578&width=184&height=512&srs=EPSG:2154&format=application/openlayers'],[],[],[],[],à déterminer
20,11547f59-6612-4eeb-9ac1-3cbffcdf3a47, Zone atelier bassin du Rhône,Suivi de la qualité des eaux de la Morcille à la station de Saint Joseph,2019-07-08T11:55:49,['Véronique GOUY'],['IRSTEA'],['https://saam.irstea.fr/'],[],[],[],[],à déterminer
21,750d8d67-19b2-40cb-9450-1a11a6c1e03a, Zone atelier bassin du Rhône,Inspection des installations classées (ICPE) en Languedoc Roussillon,2012-09-07T13:57:54,[],[],['http://www.rdbrmc.com/RESEAUX/presentation/main/index.php'],[],[],[],[],à déterminer
22,e26aaea8-3b61-4d9f-9638-033357ea473f, Zone atelier bassin du Rhône,Contrôle officiel des installations classées (ICPE) de l'Aude,2012-09-04T10:57:23,[],[],['http://www.rdbrmc.com/RESEAUX/presentation/main/index.php'],[],[],[],[],à déterminer
23,014fc08d-a9e2-4089-9685-4ffcc3607ffd, Zone atelier bassin du Rhône,Culture de l'eau et du cours d'eau - Enquête par questionnaire auprès des habitants de la Vallée du Gier (2010),2016-07-12T11:33:20,['Anne HONEGGER'],['UMR 5600'],['http://www.graie.org/zabr/zabrdoc/AccordCadre-fiches/2010/Synthese_A20_2010.pdf'],[],[],[],[],à déterminer
24,107438bf-9806-4e60-a460-04e4f3111245, Zone atelier Armorique,"Suivi de carabes dans les haies (Pleine-Fougères, secteur B, 2007-...) - Zone Atelier Armorique ZAAr",2021-03-26T14:00:02,"['Jean Luc Roger', 'Audrey Alignier']",['BAGAP UMR 0980 INRAE Agrocampus Ouest ESABAGAP UMR 0980 INRAE Agrocampus Ouest ESAZone Atelier Armorique (ZAAr)'],['http://www.osuris.fr/geonetwork/srv/fre/resources.getuuid=107438bf-9806-4e60-a460-04e4f3111245&fname=&access=public'],[],[],[],[],à déterminer
25,transimarsh_assolement_2008-2021_, Zone atelier Pyrénées Garonne,Assolement des parcelles agricoles de la ferme expérimentale INRAe de Saint Laurent de la Prée (17). Campagnes culturales 2008/2009 jusqu'à 2020/2021.,2022-10-17T10:54:03Z,"['Daphné Durant', 'Daphné Durant']","['INRAE', 'INRAE']",['https://hal.inrae.fr/hal-03140216v1'],[],[],[],[],à déterminer
26,b386ddc4-5679-46ec-b125-e5d3a9fffdc5, Zone atelier Brest Iroise,"Trait de côte - Sillon du Faou, Rosnoën (Finistère) 1948-2006",2019-03-06T10:48:31Z,['Pierre STEPHAN'],['UMR6554 LETG CNRS'],"['https://tel.archives-ouvertes.fr/file/index/docid/355047/filename/THESE_STEPHAN.pdf', 'https://geomorphologie.revues.org/9416#tocto1n2', 'https://www.univ-brest.fr/digitalAssets/40/40131_Stephan_et-al_Rapport_FRAC-GPN_2012.pdf', 'https://portail.indigeo.fr/geoserver/LETG-BREST/wms', 'https://portail.indigeo.fr/geoserver/LETG-BREST/wfs']",[],[],[],[],à déterminer
27,ec736edd-3989-4459-bc75-847ee3323a93, Zone atelier Armorique,"Occupation du sol (Pleine-Fougères, 2003) - Zone Atelier Armorique ZAAr",2018-06-13T16:43:15,['nabucet jean'],['LETG-Rennes Costel'],['https://www.osuris.fr/geoserver/zaar/wms'],[],[],"['https://www.osuris.fr/geonetwork/srv/en/cswservice=CSW&request=GetRecordById&version=2.0.2&outputSchema=', 'http://www.isotc211.org/2005/gmd&elementSetName=full&id=870903a7-3b9c-4d1a-9f09-073e092b8875']",[],à déterminer
28,pacse_jae, Zone atelier Pyrénées Garonne,Data from:Optimising spatial distribution of mass-flowering patches at the landscape scale to increase crop pollination.,,['James Desaegher'],"['INRAE, ENSAT']","['http://dx.doi.org/10.15454/UNVSGN ', 'https://pygar.omp.eu', 'https://naturalcapitalproject.stanford.edu/software/invest']",[],[],"['http://147.100.164.43:8080/geonetwork/srv/eng/cswservice=CSW&request=GetRecordById&version=2.0.2&outputSchema=', 'http://www.isotc211.org/2005/gmd&elementSetName=full&id=pacse_jae_dsd']",[],à déterminer
29,63a19fde-524f-4799-bd06-24f24da3e103, Zone atelier bassin du Rhône,Photographies aériennes diachroniques de la basse vallée de l'Ain (1938-2012),2016-10-19T13:39:28,['Fanny Arnaud'],['UMR 5600 EVS - ENS de Lyon'],"['http://onlinelibrary.wiley.com/doi/10.1002/rra.2689/abstract', 'https://tel.archives-ouvertes.fr/tel-00221368/document', 'http://www.bassevalleedelain.com/']",[],[],[],[],à déterminer
30,225ac368-125a-4032-a6d9-17d3cb73d744, Zone atelier Armorique,"Réseau de capteurs de température (espace intra-urbain rennais, 2013) - Zone Atelier Armorique ZAAr",2019-07-02T21:33:15,"['Foissard Xavier', 'Dubreuil Vincent']",['LETG-RENNES UMR 6554 CNRS Université de Rennes 2LETG-RENNES UMR 6554 CNRS Université de Rennes 2'],['https://www.osuris.fr/geoserver/zaar/wms'],[],[],[],[],à déterminer
31,be542123-89b5-46a2-8e29-bd75373a5890, Zone atelier bassin du Rhône,Contrôle des installations classées piscicoles des Pyrénées-Orientales,2012-09-04T10:53:38,[],[],['http://www.rdbrmc.com/RESEAUX/presentation/main/index.php'],[],[],[],[],à déterminer
32,bbd110f5-c194-4a3d-8682-39dea41625b3, Zone Atelier Seine,,2020-01-28T12:44:31,['Laurence LESTEL'],['Sorbonne Université - Metis'],['https://georchestra.archiseine.metis.upmc.fr/geoserver/wms'],[],[],[],[],à déterminer
33,fc4fb56b-313f-4ad2-aefe-0fc1db5f6f91, Zone atelier bassin du Rhône,Réseau hydrobiologique et  piscicole,2012-08-08T16:59:40,[],[],['http://www.rdbrmc.com/RESEAUX/presentation/main/index.php'],[],[],[],[],à déterminer
34,a8789f83-8ddd-4d06-b402-87a0be3e8b58, Zone atelier bassin du Rhône,Photothèque d'une classe de CM2 à l'Île de la Platière (2014),2017-05-03T07:51:11Z,['Fanny Arnaud'],['UMR 5600 EVS - ENS de Lyon'],"['http://ohm-vr.org/ftp/Fiche_de_synthese/APR_2014/11_WEB_Phototek_fiche_OHMVR_VF.pdf', 'http://www.graie.org/osr/IMG/pdf/phototek_v23_12_2015.pdf', 'http://ohm-vr.org/']",[],[],[],[],à déterminer
35,4b317e7e-2d6c-4c1e-8a48-23c11f5c428d, Zone atelier bassin du Rhône,Réseau de suivi qualitatif des étangs de la Palme et de Leucate,2012-08-07T15:36:28,[],"[""Conseil Général de l'Aude""]",['http://www.rdbrmc.com/RESEAUX/presentation/main/index.php'],[],[],[],[],à déterminer
36,6298f705-8dd8-472d-9069-15e4bbb50ae0, Zone atelier Armorique,"Mini réseau de haie simple (Pleine-Fougères, secteur B, 2013) - Zone Atelier Armorique ZAAr",2018-06-13T16:15:12,['Jean Nabucet'],['LETG-RENNES UMR 6554 CNRS Université de Rennes 2'],['https://www.osuris.fr/geoserver/ecobio/wmsservice=WMS&version=1.1.0&request=GetMap&layers=ecobio:Suivi_bordure_Mini_Reseau_B_Haie_spl_ZAA&styles=&bbox=362881.127994086656832571.307521242363996.464406561466833785.357969138&width=470&height=512&srs=EPSG:2154&format=application/openlayers'],[],[],[],[],à déterminer
37,918ed081-0ea3-48f8-b7b4-2c3a0fdb70c2, Zone atelier Brest Iroise,MNT de l’anse de Troaon (rade de Brest) en janvier2007,2019-02-07T16:11:20Z,"['Pierre, Stéphan']",['UMR6554 LETG CNRS'],"['https://cat.indores.fr/geonetwork/srv/api/records/918ed081-0ea3-48f8-b7b4-2c3a0fdb70c2/attachments/TROA_2007_01_02.tif', 'https://cat.indores.fr/geonetwork/srv/api/records/918ed081-0ea3-48f8-b7b4-2c3a0fdb70c2/attachments/TROA_2007_01_02.txt', 'https://cat.indores.fr/geonetwork/srv/api/records/918ed081-0ea3-48f8-b7b4-2c3a0fdb70c2/attachments/TROA_2007_01_02_LR.txt', 'https://cat.indores.fr/geonetwork/srv/api/records/918ed081-0ea3-48f8-b7b4-2c3a0fdb70c2/attachments/Erreurs_mesures_Troaon.pdf', 'https://cat.indores.fr/geonetwork/srv/api/records/918ed081-0ea3-48f8-b7b4-2c3a0fdb70c2/attachments/MNT_TROAON_2007_01_L1.zip', 'https://portail.indigeo.fr/geoserver/LETG-BREST/wms', 'https://portail.indigeo.fr/geoserver/LETG-BREST/wcs']",[],[],[],[],à déterminer
38,3719ff01-0c62-4596-a7d1-c8487c798444, Zone atelier Armorique,Hedgerow vegetation (metacommunity) - Occurrence - from 1994 to 2017,2021-01-26T09:44:53,['Audrey Alignier'],['INRAE BAGAP'],"['https://www.nature.com/articles/s41467-020-17171-y', 'http://doi.org/10.23728/b2share.f87c5e9c27e940ee9b98900e302f0bb8', 'https://doi.org/10.1016/j.agee.2015.06.008']",[],[],[],"['https://www.osuris.fr/geoserver/ecobio/wms ', 'https://doi.org/10.1016/j.ecolind.2017.11.046']",à déterminer
39,cf81f73b-b414-4f06-acb9-dc42633a7ab6, Zone atelier bassin du Rhône,Caractéristiques de sédimentation dans les casiers Girardon des Vieux Rhône (2014),2019-05-02T11:51:18Z,['Fanny Arnaud'],['UMR 5600 EVS - ENS de Lyon'],"['http://ohm-vr.org/', 'http://ohm-vr.org/ftp/Fiche_de_synthese/APR_2013/5.Raepple_ficheCOS.pdf']",[],[],[],[],à déterminer
40,909cefb9-ba90-41b4-9ef2-6559fec6a1fb, Zone atelier Armorique,"Relevés de banques de graines en bandes enherbées expérimentales (Pleine-Fougères, 2010) - Zone Atelier Armorique ZAAr",2018-03-15T14:31:31,"['Cendrine Mony', 'Françoise Le Moal']",['ECOBIO UMR 6553 CNRS Université de Rennes 1ECOBIO UMR 6553 CNRS Université de Rennes 1'],[],[],[],[],[],à déterminer
41,91736af2-aabf-4b97-b638-3be055345b28, Zone atelier bassin du Rhône,Exploration statistique des combinaisons « territoires-sinistres » des enjeux territoriaux face aux inondations du Rhône aval (2015),2022-01-04T14:04:57Z,['Fanny Arnaud'],['UMR 5600 EVS - ENS de Lyon'],['http://ohm-vr.org/'],[],[],[],[],à déterminer
42,8d00d1bf-0b2e-411d-9295-f60bf3336b0a, Zone atelier bassin du Rhône,Puissance spécifique des Vieux Rhône (1860-2006),2016-11-21T15:17:42,['Fanny Arnaud'],['UMR 5600 EVS - ENS de Lyon'],"['http://www.graie.org/osr/IMG/pdf/Atlas_synthese.pdf', 'http://www.graie.org/osr/IMG/pdf/Rapport_de_synthese.pdf', 'http://www.graie.org/osr/']",[],[],[],[],à déterminer
43,efd3d291-3de5-4d13-bc3f-bef419044419, Zone atelier bassin du Rhône,"Evolution des surfaces en eau, sédimentées et végétalisées dans les casiers Girardon du Vieux Rhône de Péage-de-Roussillon (1974-2009)",2023-08-17T14:18:08.243Z,['Fanny Arnaud'],['UMR 5600 EVS - ENS de Lyon'],"['http://ohm-vr.org/', 'http://www.graie.org/ISRivers/docs/papers/2018/2P216-012SEI.pdf', 'http://ohm-vr.org/ftp/Fiche_de_synthese/APR_2016/27_WEB_OHMVR_Seignemartin.pdf', 'http://ohm-vr.org/ftp/Fiche_de_synthese/APR_2017/35_WEB_OHMVR_2017_Seignemartin_VF_DRM.pdf']",[],[],[],[],à déterminer
44,bce1a547-559b-40c1-b51f-897d5b9c6cbc, Zone atelier Armorique,"Relevés Parasitoides-Pucerons (ZAAr, 2015) - Zone Atelier Armorique ZAAr",2018-07-04T10:28:58,"['Cécile Le Lann', 'Romain GEORGES']",['ECOBIO UMR 6553 CNRS Université de Rennes 1ECOBIO UMR 6553 CNRS Université de Rennes 1'],['https://www.osuris.fr/geoserver/zaar/wms'],[],[],[],[],à déterminer
45,c0ec8b98-e9ac-49f2-8668-f513cb435fe3, Zone Atelier Seine,,2020-02-05T13:01:26,['Laurence LESTEL'],['Sorbonne Université - UMR 7619 Metis'],['https://georchestra.archiseine.metis.upmc.fr/geoserver/wms'],[],[],[],[],à déterminer
46,91288374-9400-4db2-9163-6c73acdc2562, Zone atelier bassin du Rhône,Suivi de l'autosurveillance en Rhône Alpes,2012-08-08T18:36:38,[],[],['http://www.rdbrmc.com/RESEAUX/presentation/main/index.php'],[],[],[],[],à déterminer
47,f6f7998a-f20d-4988-9445-667878694a49, Zone atelier Brest Iroise,Levé SMF Traverse de l'Hôpital (juin 2009),2019-02-11T18:11:24Z,"[""France Floc'h""]",['IUEM - Institut Universitaire Européen de la Mer'],['https://portail.indigeo.fr/geoserver/wcs'],[],[],[],[],à déterminer
48,90c2e742-7354-4ce1-b155-19fc1f10ea1e, Zone atelier Brest Iroise,"Zones d'alimentation des couples de craves à bec rouge, Ouessant (1999)",2019-02-08T13:22:07Z,['Mathias ROUAN'],['UMR6554 LETG CNRS'],"['https://portail.indigeo.fr/geoserver/wms', 'https://portail.indigeo.fr/geoserver/wfs']",[],[],[],[],à déterminer
49,330b1033-2547-4a38-8933-fb1925ecec4f, Zone atelier Brest Iroise,Levé SMF Keraliou (juin 2009),2019-02-11T18:07:47Z,"[""France Floc'h""]",['IUEM - Institut Universitaire Européen de la Mer'],['http://geosu-iuem.univ-brest.fr/geoserver/wcs'],[],[],[],[],à déterminer
