,Store,Entrepot,ID,Titre,Auteur,Résumé,Date de publication,Publication Url
10,Zenodo, Zone atelier Pyrénées Garonne,6395435,Geohistorical dataset of ten plant species introduced into Occitania (France),"Claudel, Morgane","<p>The original dataset presented here is the result of the first near-exhaustive analysis performed on historical data concerning ten plant species introduced in and around Occitania (south-western France) since 1651. Research was carried out on the following species: <i>Alnus incana</i>, <i>Buddleja davidii</i>, <i>Castanea sativa</i>, <i>Helianthus tuberosus</i>, <i>Impatiens glandulifera</i>, <i>Prunus cerasifera</i>, <i>Prunus laurocerasus</i>, <i>Reynoutria japonica</i>, <i>Robinia pseudoacacia</i> and <i>Spiraea japonica</i>.</p><p>The data file contains 199 occurrence data exclusively based on historical observations and records made between 1651 and 2004 that were retrieved from 111 of the 640 literary sources consulted. All the records are associated with a year and 61% of them have associated spatial coordinates. Initially, the EI2P-VALEEBEE research project focused on the introduction of these species into Occitania (95 occurrences, 47.7%), but mentions found of introductions beyond this territory - mainly in metropolitan France - are also reported.</p><p>The creation of this dataset involved five stages: (1) selection of species, (2) consultation of historical sources, (3) recording of occurrences in the dataset, (4) dataset standardisation/enrichment and Darwin core mapping and (5) data publication. Quality controls were conducted at each step.</p><p>The dataset is available on the platform of the Global Biodiversity Information Facility (GBIF) at https://doi.org/10.15468/3kvaeh. It respects the internationally recognised FAIR Data Principles (Findable, Accessible, Interoperable and Reusable).</p><p>The dataset will be progressively enriched by new data during the EI2P-VALEEBEE research project and future projects on invasive plant species conducted by the team.</p>",2022-03-28,10.3897/BDJ.10.e76283
11,Zenodo,Zone atelier territoires uranifères,6344676,"FIGURE 65 in Chamaepinnularia salina (Bacillariophyta), a new diatom species from French mineral springs (Massif Central)","Beauger, Aude",FIGURE 65. Cl versus Na concentrations for Sail spring samples.,2022-03-03,10.5281/zenodo.6344676
12,Zenodo,Zone atelier territoires uranifères,6333082,"Chamaepinnularia salina Beauger, C. E. Wetzel, Allain & Ector 2022, sp. nov.","Beauger, Aude","<i>Chamaepinnularia salina</i> Beauger, C.E.Wetzel, Allain &amp; Ector <i>sp</i>. <i>nov</i>. (Figs 2&ndash;40)   <p>Light microscopy observations (Figs 2&ndash;28): Valves linear with almost parallel margins (the longest individuals slightly inflated in the middle). Broadly rounded to slightly rostrate&ndash;capitate apices (Figs 2&ndash;28). Valve dimensions (n = 35): length 7&ndash;16 &micro;m, width 2&ndash;3.2 &micro;m. Axial area lanceolate, central area rectangular, forming a rather broad fascia. Striae parallel to weakly radiate near the central area, 30&ndash;40 in 10 &micro;m.</p>  <p>Scanning electron microscopy observations (Figs 29&ndash;40): Raphe straight (exceptionally slightly curved in the middle), filiform located on an elevated sternum and central area a rectangular fascia (Figs 29&ndash;35). Axial area narrow. Virgae between striae developed (Fig. 36). Raphe with straight, slightly expanded central endings and terminal fissures hooked in the same direction, continuing onto the mantle. Central endings expanded, drop-like (Fig. 29). Striae composed of two large areolae, one located on the valve face and a second on the mantle, separated by a silica line at the valve face/mantle junction, covered externally by porous hymenes, visible also internally (Figs 36&ndash;39). Striae sometimes slightly depressed (Figs 36&ndash;37). Around the valve apices, areolae on the mantle continuous externally and internally (Figs 38&ndash;39). Internally, terminal fissures slightly deflected, terminating in a slightly swollen hyaline area (Fig. 39).</p>  <p> <b>Type</b>: <b>&mdash;</b> FRANCE. Mirefleurs: Sail spring, sample S10_BA_ 201214, 334 m a.s.l., E716182.68, N6509572.63 (Lambert 93), collection date <i>20 December 2014</i> (designated here, holotype: CLF!, slide no. CLF103304, here depicted in Figs 7&ndash;8; isotypes: BR! slide no. 4649).</p>   <p> <b>Etymology</b>: <b>&mdash;</b> The new species is named after the mineral and salty spring where it was discovered, Sail spring, situated in the French Massif Central.</p>   <p> <b>Associated diatom taxa</b>: <b>&mdash;</b> The type population of <i>Chamaepinnularia salina</i> was found in Sail spring associated with other taxa. In December 2014, the two co-dominant taxa were <i>Planothidium frequentissimum</i> (Lange-Bertalot 1993: 4) Lange-Bertalot (1999: 282) (31.6%) and <i>Chamaepinnularia salina</i> (13.2 %). <i>Crenotia thermalis</i> (Rabenhorst 1864: 107) Wojtal (2013: 81) represented 9.4 % of the community with <i>Navicula veneta</i> K&uuml;tzing (1844: 95) (9.1%), <i>Navicula sanctamargaritae</i> (5.1%), <i>Microcostatus</i> sp. (4.6%), <i>Nitzschia</i> cf. <i>liebetruthii</i> (3.8 %), <i>Gomphonema parvulum</i> K&uuml;tzing (1849: 65) (3.8 %), <i>Pinnularia kuetzingii</i> Krammer (1992: 104, 173) (3.8%), <i>Nitzschia vitrea</i> G. Norman (1861: 7) (2.3 %), S <i>urirella brebissonii</i> Krammer &amp; Lange-Bertalot (1987: 82) (2.0 %), <i>Nitzschia inconspicua</i> Grunow (1862: 579, 580) (1.3 %). The other taxa (&lt;1%) were <i>Fallacia pygmaea</i> (K&uuml;tzing 1849: 77) Stickle &amp; D.G.Mann in Round <i>et al.</i> (1990: 668), <i>Fragilaria famelica</i> (K&uuml;tzing 1844: 64) Lange-Bertalot (1980: 749), <i>Nitzschia soratensis</i> E.Morales &amp; M.L.Vis (2007: 128), <i>Sellaphora labernardierei</i> and lastly <i>Pseudostaurosira</i> sp.</p>   <p> <b>Physical and chemical environment of the species</b>: <b>&mdash;</b> The Sail spring has a slightly acidic pH (6.8) and an elevated electrical conductivity (EC) level (more than 5000 &mu;S cm-1). Water temperature is not high, in the range of 12.9 to 16.6&deg;C for our measurements. The spring is rich in several major elements e.g. sodium, calcium and, the concentration in nitrate is lower less than 10 mg L- 1 (Table 1). High trace elements concentrations such as boron, strontium, barium, manganese and arsenic are found in the 2018 sample (Table 2). In October 2019, physical parameters and ionic concentrations are significantly different than the other periods of sampling, e.g. electrical conductivity, usually about 7600 &micro;S. cm-1, has dropped to 5390 &micro;S. cm-1 and chloride content has divided by two.</p>   <p> The Sail spring displays a very peculiar pattern regarding radioactivity: radon concentration in water varies significantly along the year and can reach significant levels up to 1000 Becquerels per liter. Indeed, the equivalent doses recorded (in nanoSieverts per hour) were on average 150 nSv h-1 and 270 nSv h-1 when measuring at 1-meter height above the spring and at the water level respectively. These values are in agreement with the mean background values of Auvergne region (150&ndash;200 nSv h-1) without indicating any significant radioactive signature. The water sample collected for gamma-spectroscopy measurements showed a significant Radon activity of 1006.1 &plusmn; 1.6 Bq L- 1.</p>   <p> <i>Chamaepinnularia salina</i> was also present in each sample taken in 11 other springs of the French Massif Central (Figs 41&ndash;44; 45). In these springs, the relative abundance of <i>C. salina</i> varied between 0.2% (one individual in Zagat and Tete de Lion springs) and 50.6% (Camuse spring). All the springs were characterized by high conductivity (between 1464 &micro;S. cm-1 and 7240 &micro;S. cm-1) and by high sodium and potassium contents (Fig. 45). Major anions are bicarbonates except for the Poix spring enriched in sulphate. For Camuse spring, where rock was brushed, <i>C. salina</i> was dominant (50.6%) associated with <i>Humidophila gallica</i> (W. Smith 1857: 11) R.L.Lowe, Kociolek, Q.You, Q.Wang &amp; Stepanek (2017: 281) (30.8%). For Camuse spring, EC was less than 5000 &mu;S cm-1 and ionic concentrations were lower than in Sail spring.</p>   <p> When collecting diatoms on mud, in November 2018, in Sail spring, only two individuals were observed and in October 2019, seven individuals were present. In June 2020, there were as many individuals (1.5%) in both samples (mud and stones). In the 11 other springs, <i>C. salina</i> was present both on stone and sediment substrates (the dominant substrates taken at each spring).</p>",2022-03-03,10.5281/zenodo.6333082
13,Zenodo,Zone atelier territoires uranifères,6332014,"FIGURES 46–64 in Chamaepinnularia salina (Bacillariophyta), a new diatom species from French mineral springs (Massif Central)","Beauger, Aude","FIGURES 46–64. Microcostatus turritus from Cave Bossea, Italy. LM. Figs 46–58. Population from Cave Bossea, Italy. SEM. Figs 59–64. Population from Cave Bossea, Italy. 59–62. External view of an entire valve showing the raphe structure and the microcostae. 63. Internal view of an entire valve showing the microcostae, the central nodule, the proximal and distal raphe endings. 64. Internal detail showing the striae. Scale bar = 10 μm (Figs 46–58), 4 µm (Fig. 63), 3 µm (Figs 59–62) and 500 nm (Fig. 64).",2022-03-03,10.5281/zenodo.6332014
14,Zenodo,Zone atelier territoires uranifères,6332012,"FIGURE 45 in Chamaepinnularia salina (Bacillariophyta), a new diatom species from French mineral springs (Massif Central)","Beauger, Aude",FIGURE 45. Piper diagram done on the 12 springs where Chamaepinnularia salina was observed.,2022-03-03,10.5281/zenodo.6332012
15,Zenodo,Zone atelier territoires uranifères,6332010,"FIGURES 41–44. Chamaepinnularia salina Beauger, C.E in Chamaepinnularia salina (Bacillariophyta), a new diatom species from French mineral springs (Massif Central)","Beauger, Aude","FIGURES 41–44. Chamaepinnularia salina Beauger, C.E.Wetzel, Allain &amp; Ector sp. nov. from 41. Zagat spring, 42: Saurier spring; 43: Camuse spring (CLF!, slide no. CLF103305) and 44. Felix spring. Scale bar = 5 μm (Fig. 41) and 4 µm (Figs 42–44).",2022-03-03,10.5281/zenodo.6332010
16,Zenodo,Zone atelier territoires uranifères,6332008,"FIGURES 36–40. Chamaepinnularia salina Beauger, C.E in Chamaepinnularia salina (Bacillariophyta), a new diatom species from French mineral springs (Massif Central)","Beauger, Aude","FIGURES 36–40. Chamaepinnularia salina Beauger, C.E.Wetzel, Allain &amp; Ector sp. nov. Type population from Sail spring. SEM. 36. External detail of the central area and of the striae. Note the proximal raphe endings and the sternum. 37. External detail of the hooked distal raphe endings. 38, 40. Internal view of an entire valve showing the striae, the central nodule, the proximal and distal raphe endings. The proximal raphe endings are unilaterally hooked. The distal raphe fissures terminate internally with a small helictoglossa. 39. Internal detail showing the distal raphe endings. Internally, the areola openings are divided with internal plates of silica. Scale bar = 1 μm (Figs 36–37, 39), 5 µm (Figs 38, 40).",2022-03-03,10.5281/zenodo.6332008
17,Zenodo,Zone atelier territoires uranifères,6332006,"FIGURES 2–35. Chamaepinnularia salina Beauger, C.E in Chamaepinnularia salina (Bacillariophyta), a new diatom species from French mineral springs (Massif Central)","Beauger, Aude","FIGURES 2–35. Chamaepinnularia salina Beauger, C.E.Wetzel, Allain &amp; Ector sp. nov., LM. (Figs 2–28). Type population from Sail spring. SEM. (Figs 29–35) Type population from Sail spring. 29–35. External view of an entire valve showing the raphe structure and the striae. The striae are composed of simple, chamber-like areolae, with external openings covered by vela. The external proximal raphe endings are inconspicuous.",2022-03-03,10.5281/zenodo.6332006
18,Zenodo,Zone atelier territoires uranifères,6332004,"FIGURE 1 in Chamaepinnularia salina (Bacillariophyta), a new diatom species from French mineral springs (Massif Central)","Beauger, Aude",FIGURE 1. Map of the study spring. a: map of France; b: position of the Sail spring in the Puy-de-Dôme department (square); c and d: photographs of the spring taken in December 2014 and November 2018 respectively.,2022-03-03,10.5281/zenodo.6332004
19,Zenodo,Zone atelier territoires uranifères,6332002,"Chamaepinnularia salina (Bacillariophyta), a new diatom species from French mineral springs (Massif Central)","Beauger, Aude","Beauger, Aude, Wetzel, Carlos E., Allain, Elisabeth, Bertin, Clotilde, Voldoire, Olivier, Breton, Vincent, Baker, Lory-Anne, Kolovi, Sofia, Biron, David, Ector, Luc (2022): Chamaepinnularia salina (Bacillariophyta), a new diatom species from French mineral springs (Massif Central). Phytotaxa 538 (1): 55-73, DOI: 10.11646/phytotaxa.538.1.5",2022-03-03,10.11646/phytotaxa.538.1.5
20,Zenodo, Zone atelier Hwange,5564836,Long-term high densities of African elephants clear the understorey and promote a new stable savanna woodland community,"Ferry, Nicolas","<p>Dataset and script associated to the journal article &quot;Long-term high densities of African elephants clear the understorey and promote a new stable savanna woodland community&quot;.</p>

<p>The dataset encompass the assessment of all woody plants in 12 vegetation plots of the Hwange National Park, Zimbabwe. For each plant, species and morphological characteristic (height, crown diameter, DBH) were recorded, as well as impact of elephants. The dataset also incorporates data gathered from the TRY database and processed to be used in this work.</p>

<p>Finally, the script associated with the analysis of the paper is also enclosed.</p>

<p>&nbsp;</p>",2021-10-12,10.5281/zenodo.5564836
21,Zenodo, Zone atelier Alpes,5092154,Data from: Strong links between plant traits and microbial activities but different abiotic drivers in mountain grasslands,"Weil, Sarah-Sophie","<p>This dataset contains data and code that support the results in Weil, S.-S., Martinez-Almoyna, C., Piton, G., Renaud, J., Boulangeat, L., Foulquier, A., ... &amp; Thuiller, W. (2021) Strong links between plant traits and microbial activities but different abiotic drivers in mountain grasslands (accepted in Journal of Biogeography).</p>

<p>We used an extensive plant-soil dataset that covers 14 elevational gradients (between 1500 and 2800 m of elevation) distributed over the whole French Alps to analyse the spatial co-dependencies between the plant and soil compartments. We ran a Graphical Lasso that extracts the direct and indirect linkages between plant functional composition, soil microbial activities, and environmental conditions (local climate and soil properties).</p>

<p>Our main results are 1) that plant traits are tightly associated with microbial activities, the former being driven by climate and the latter by soil properties; 2) that the dominance of specific plant traits was more important than their diversity to determine plant-soil linkages; and 3) that soil microbes invested strongly in nutrient acquisition in sites with conservative plant traits and reduced organic matter quality.</p>",2022-07-14,10.5281/zenodo.5092154
