,Dataverses_niv2,Ids_niv2
10,"['CENSE', 'Battery data', 'ACIMP - Asphalt pavement laboratory slabs', 'Experimental abdominal data', 'TerDOUEST', 'SUBDENSE']","[158390, 163209, 174195, 186455, 195602, 198298]"
11,"['CERMICS', 'HM&Co', 'Laboratoire Navier', 'CEREA']","[158623, 158624, 158626, 158857]"
12,[],[]
13,['MIMESIS'],[167534]
14,"['URSûr 201722597T', 'UREnv 201722596S', 'URSan 201722594P']","[221935, 221946, 221947]"
15,"['Collection Générique Inserm', 'Biologie cellulaire, développement et évolution', 'Génétique, génomique et bioinformatique', 'Bases moléculaires et structurales du vivant', 'Cancer', 'Technologies pour la santé', 'Santé publique', 'Physiopathologie, métabolisme, nutrition', 'Neurosciences, sciences cognitives, neurologie, psychiatrie', 'Immunologie, inflammation, infectiologie et microbiologie']","[152449, 152451, 152453, 152460, 152461, 152462, 152463, 152464, 152465, 152466]"
16,[],[]
17,[],[]
18,['Données associées aux mémoires de master de Sorbonne Université'],[179083]
19,[],[]
20,"['JUstice In Climate Change Exposure (JUICCE)', 'Acompañamiento para la Gobernanza Adaptiva de la Tierra en Apurímac (AGATA)', 'Chaire CoPack']","[171135, 172581, 188811]"
21,[],[]
22,['UCCS'],[176254]
23,[],[]
24,[],[]
25,[],[]
26,"['UMR CNRS 6226 - Institut des sciences chimiques de Rennes (ISCR)', 'UMR 6118 - Géosiences Rennes', 'UMR INRAE 1349 - Institut de génétique, environnement et protection des plantes (IGEPP)', 'UMR INSERM 1241 / UMR INRAE 1341 - Nutrition, Métabolismes et Cancer (NuMeCan)', 'UMR 6553 - Ecobio - Ecosystèmes, Biodiversité, Evolution']","[163908, 163915, 163927, 163928, 178981]"
27,"['BETA', 'ICMCB', 'Dat@OSUC', 'dataLNCMI', 'IDEES', 'French Fluid Dynamics Database']","[161262, 167583, 175564, 178605, 191897, 193082]"
28,[],[]
29,"[""Laboratoire D'informatique Signaux et Systèmes de Sophia-Antipolis"", 'Institut Sophia Agrobiotech']","[174193, 174197]"
30,"['Telecom', 'Transport Aérien - TA', 'II - Informatique Interactive', 'OPTIM']","[197003, 197004, 222042, 284520]"
31,[],[]
32,"['ERC Promises', ""Observatoire des Sciences de l'Univers Nantes Atlantique (Osuna)"", 'Laboratoire MIP', 'ANR-DEMCOM - Durable and Environmental design of Monitored COncrete structures in Marine environment', 'Laboratoire de Planétologie et Géosciences (LPG)']","[174253, 174520, 176077, 179212, 201219]"
33,"['Agro&Sciences', 'Culture Patrimoines Sociétés Numériques']","[174660, 178272]"
34,"['URCOM - Unité de Recherche en Chimie Organique et Macromoléculaire ', 'GREAH - Groupe de Recherche en Electrotechnique et Automatique du Havre', 'LMAH - Laboratoire de Mathématiques Appliquées du Havre ', 'LITIS - Laboratoire d’Informatique et du Traitement de l’Information et des Systèmes', 'LOMC - Laboratoire Ondes et Milieux Complexes', 'SEBIO - Stress Environnementaux et BIOsurveillance des milieux aquatiques']","[175285, 176149, 176167, 179064, 179065, 179066]"
35,['LGC'],[174376]
36,"['TIRAMISU', 'Institut Pascal', 'UMR 1095 GDEC ']","[197313, 201555, 208982]"
37,"['GRAPPE', 'URSE', 'LEVA', 'LARESS', 'BAGAP-ESA']","[191947, 192360, 192364, 192366, 192368]"
38,"['Data BSB', 'Data Université de Franche-Comté', 'Data Université de Bourgogne', 'Data Université de Technologie de Belfort Montbéliard', 'Data SUPMICROTECH-ENSMM', 'Data Agro Dijon', 'Data Arts et Métiers Campus de Cluny']","[168827, 175567, 175568, 175569, 175572, 175573, 183125]"
39,['CIML'],[221986]
40,"[""CREOP - Centre de Recherche sur l'Entreprise, les Organisations et le Patrimoine"", ""LAPE - Laboratoire d'Analyse et de Prospectives Economiques"", 'OMIJ - Observatoire des mutations institutionnelles et juridiques', 'GEOLAB', 'CeReS', 'CRIHAM', 'EHIC', 'FrED', 'GRESCO', 'CRIBL', 'EpiMaCT', 'P&T', 'RESINFIT', 'CAPTuR', 'HAVAE', 'LABCiS', 'NEURIT', 'VieSanté', 'IRCER', 'GC2D', 'E2Lim', 'XLIM']","[192324, 192325, 192365, 192367, 192369, 192370, 192372, 192373, 192375, 192376, 192377, 192378, 192379, 192380, 192382, 192385, 192386, 192387, 192388, 192389, 192390, 192391]"
41,"['LIENSs', 'CEBC', 'NUDD', 'LASIE', 'L3i', 'MIA']","[192165, 192166, 192167, 192168, 192169, 192170]"
42,[],[]
43,"['Institut de Recherche en Informatique de Toulouse (IRIT)', 'Institut de Pharmacologie et Biologie Structurale (IPBS)', 'Institut des Maladies Métaboliques et Cardiovasculaires (I2MC)', ""Centre d'Etudes Spatiales de la Biosphère (CESBIO)"", ""Centre Interuniversitaire de Recherche et d'Ingénierie des Matériaux (CIRIMAT)"", ""Centre de Recherche sur la Biodiversité et l'Environnement (CRBE)"", 'Géosciences Environnement Toulouse (GET)']","[201880, 284981, 285008, 285011, 285062, 285065, 285066]"
44,[],[]
45,[],[]
46,"['transitions éducation', 'transitions territoires', 'transitions agro écologiques']","[187783, 187784, 187786]"
47,[],[]
48,"[' Collection ELICO-ENSSIB', ' Collection Centre Gabriel Naudé', ""Collection Travaux scientifiques de l'Enssib""]","[328796, 328859, 339585]"
49,[],[]
