,niv1,niv2,ids_niv1,ids_niv2,val,niv0
180.0,Université Toulouse Jean-Jaurès," ""Centre dEtudes Ibériques et Ibéro-Américaines (CEIIBA-Toulouse)""",125170.0, 142852,1,Recherche Data Gouv
181.0,Université Toulouse Jean-Jaurès, Centre d’Etudes et de Recherches en Psychopathologie et Psychologie de la Santé (CERPPS),125170.0, 142853,1,Recherche Data Gouv
182.0,Université Toulouse Jean-Jaurès," ""Centre de Recherches et dEtudes Germaniques (CREG)""",125170.0, 142854,1,Recherche Data Gouv
183.0,Université Toulouse Jean-Jaurès, Equipe de Recherche sur les Rationalités Philosophiques et les Savoirs (ERRAPHIS),125170.0, 142855,1,Recherche Data Gouv
184.0,Université Toulouse Jean-Jaurès, Laboratoire Cliniques Pathologique et Interculturelle (LCPI),125170.0, 142857,1,Recherche Data Gouv
185.0,Université Toulouse Jean-Jaurès, Laboratoire de NeuroPsychoLinguistique (LNPL),125170.0, 142858,1,Recherche Data Gouv
186.0,Université Toulouse Jean-Jaurès, Laboratoire de Psychologie de la Socialisation – Développement et Travail (LPS-DT),125170.0, 142859,1,Recherche Data Gouv
187.0,Université Toulouse Jean-Jaurès, Laboratoire de Recherche en Audiovisuel - Savoirs,125170.0, 142860,1,Recherche Data Gouv
188.0,Université Toulouse Jean-Jaurès, Praxis et Poïétiques en Art (LARA-SEPPIA),125170.0, 142861,1,Recherche Data Gouv
189.0,Université Toulouse Jean-Jaurès, Lettres,125170.0, 142862,1,Recherche Data Gouv
190.0,Université Toulouse Jean-Jaurès, Langages et Arts - Création,125170.0, 142863,1,Recherche Data Gouv
191.0,Université Toulouse Jean-Jaurès, Recherche,125170.0, 142864,1,Recherche Data Gouv
192.0,Université Toulouse Jean-Jaurès, Émergence en Arts,125170.0, 142865,1,Recherche Data Gouv
193.0,Université Toulouse Jean-Jaurès, Textes,125170.0, 142866,1,Recherche Data Gouv
194.0,Université Toulouse Jean-Jaurès, Images,125170.0, 142867,1,Recherche Data Gouv
195.0,Université Toulouse Jean-Jaurès, Spectacles (LLA CREATIS),125170.0, 142868,1,Recherche Data Gouv
196.0,Université Toulouse Jean-Jaurès, Patrimoine,125170.0, 142869,1,Recherche Data Gouv
197.0,Université Toulouse Jean-Jaurès, Littérature,125170.0,,1,Recherche Data Gouv
198.0,Université Toulouse Jean-Jaurès, Histoire (PLH),125170.0,,1,Recherche Data Gouv
199.0,Université Toulouse Jean-Jaurès," ""Centre dÉtude et de Recherche Travail",125170.0,,1,Recherche Data Gouv
200.0,Université Toulouse Jean-Jaurès, Organisation,125170.0,,1,Recherche Data Gouv
201.0,Université Toulouse Jean-Jaurès," Pouvoir (CERTOP)""",125170.0,,1,Recherche Data Gouv
202.0,Université Toulouse Jean-Jaurès, Cognition,125170.0,,1,Recherche Data Gouv
203.0,Université Toulouse Jean-Jaurès, Langues,125170.0,,1,Recherche Data Gouv
204.0,Université Toulouse Jean-Jaurès, Langage,125170.0,,1,Recherche Data Gouv
205.0,Université Toulouse Jean-Jaurès, Ergonomie (CLLE),125170.0,,1,Recherche Data Gouv
206.0,Université Toulouse Jean-Jaurès, Education,125170.0,,1,Recherche Data Gouv
207.0,Université Toulouse Jean-Jaurès, Formation,125170.0,,1,Recherche Data Gouv
208.0,Université Toulouse Jean-Jaurès, Travail,125170.0,,1,Recherche Data Gouv
209.0,Université Toulouse Jean-Jaurès, Savoirs (EFTS),125170.0,,1,Recherche Data Gouv
210.0,Université Toulouse Jean-Jaurès, France,125170.0,,1,Recherche Data Gouv
211.0,Université Toulouse Jean-Jaurès, Amériques,125170.0,,1,Recherche Data Gouv
212.0,Université Toulouse Jean-Jaurès, Espagne - Sociétés,125170.0,,1,Recherche Data Gouv
213.0,Université Toulouse Jean-Jaurès, pouvoirs,125170.0,,1,Recherche Data Gouv
214.0,Université Toulouse Jean-Jaurès, acteurs (FRAMESPA),125170.0,,1,Recherche Data Gouv
215.0,Université Toulouse Jean-Jaurès," ""Géographie de lEnvironnement (GEODE)""",125170.0,,1,Recherche Data Gouv
216.0,Université Toulouse Jean-Jaurès, Laboratoire Interdisciplinaire Solidarités,125170.0,,1,Recherche Data Gouv
217.0,Université Toulouse Jean-Jaurès, Sociétés,125170.0,,1,Recherche Data Gouv
218.0,Université Toulouse Jean-Jaurès, Territoires (LISST),125170.0,,1,Recherche Data Gouv
219.0,Université Toulouse Jean-Jaurès, Travaux et Recherches Archéologiques sur les Cultures,125170.0,,1,Recherche Data Gouv
220.0,Université Toulouse Jean-Jaurès, les Espaces et les Sociétés (TRACES),125170.0,,1,Recherche Data Gouv
221.0,Entrepôt de données ouvertes de l'Université Paris Nanterre - UPN,,125171.0,,1,Recherche Data Gouv
222.0,Institut de recherche pour le développement,,145305.0,,1,Recherche Data Gouv
223.0,Centre de Coopération Internationale en Recherche Agronomique pour le Développement,,146139.0,,1,Recherche Data Gouv
224.0,Data Univ. Gustave Eiffel,CENSE,148866.0,158390,1,Recherche Data Gouv
225.0,Data Univ. Gustave Eiffel, Battery data,148866.0, 163209,1,Recherche Data Gouv
226.0,Data Univ. Gustave Eiffel, ACIMP - Asphalt pavement laboratory slabs,148866.0, 174195,1,Recherche Data Gouv
227.0,Data Univ. Gustave Eiffel, Experimental abdominal data,148866.0, 186455,1,Recherche Data Gouv
228.0,Data Univ. Gustave Eiffel, TerDOUEST,148866.0, 195602,1,Recherche Data Gouv
229.0,Data Univ. Gustave Eiffel, SUBDENSE,148866.0, 198298,1,Recherche Data Gouv
230.0,École des Ponts ParisTech,CERMICS,148870.0,158623,1,Recherche Data Gouv
231.0,École des Ponts ParisTech, HM&Co,148870.0, 158624,1,Recherche Data Gouv
232.0,École des Ponts ParisTech, Laboratoire Navier,148870.0, 158626,1,Recherche Data Gouv
233.0,École des Ponts ParisTech, CEREA,148870.0, 158857,1,Recherche Data Gouv
234.0,Institut d’études politiques de Paris,,148974.0,,1,Recherche Data Gouv
235.0,Inria,MIMESIS,148975.0,167534,1,Recherche Data Gouv
236.0,Institut de Radioprotection et de Sûreté Nucléaire,URSûr 201722597T,150479.0,221935,1,Recherche Data Gouv
237.0,Institut de Radioprotection et de Sûreté Nucléaire, UREnv 201722596S,150479.0, 221946,1,Recherche Data Gouv
238.0,Institut de Radioprotection et de Sûreté Nucléaire, URSan 201722594P,150479.0, 221947,1,Recherche Data Gouv
239.0,Institut national de la santé et de la recherche médicale,Collection Générique Inserm,150892.0,152449,1,Recherche Data Gouv
240.0,Institut national de la santé et de la recherche médicale, Biologie cellulaire,150892.0, 152451,1,Recherche Data Gouv
241.0,Institut national de la santé et de la recherche médicale, développement et évolution,150892.0, 152453,1,Recherche Data Gouv
242.0,Institut national de la santé et de la recherche médicale, Génétique,150892.0, 152460,1,Recherche Data Gouv
243.0,Institut national de la santé et de la recherche médicale, génomique et bioinformatique,150892.0, 152461,1,Recherche Data Gouv
244.0,Institut national de la santé et de la recherche médicale, Bases moléculaires et structurales du vivant,150892.0, 152462,1,Recherche Data Gouv
245.0,Institut national de la santé et de la recherche médicale, Cancer,150892.0, 152463,1,Recherche Data Gouv
246.0,Institut national de la santé et de la recherche médicale, Technologies pour la santé,150892.0, 152464,1,Recherche Data Gouv
247.0,Institut national de la santé et de la recherche médicale, Santé publique,150892.0, 152465,1,Recherche Data Gouv
248.0,Institut national de la santé et de la recherche médicale, Physiopathologie,150892.0, 152466,1,Recherche Data Gouv
249.0,Institut national de la santé et de la recherche médicale, métabolisme,150892.0,,1,Recherche Data Gouv
250.0,Institut national de la santé et de la recherche médicale, nutrition,150892.0,,1,Recherche Data Gouv
251.0,Institut national de la santé et de la recherche médicale, Neurosciences,150892.0,,1,Recherche Data Gouv
252.0,Institut national de la santé et de la recherche médicale, sciences cognitives,150892.0,,1,Recherche Data Gouv
253.0,Institut national de la santé et de la recherche médicale, neurologie,150892.0,,1,Recherche Data Gouv
254.0,Institut national de la santé et de la recherche médicale, psychiatrie,150892.0,,1,Recherche Data Gouv
255.0,Institut national de la santé et de la recherche médicale, Immunologie,150892.0,,1,Recherche Data Gouv
256.0,Institut national de la santé et de la recherche médicale, inflammation,150892.0,,1,Recherche Data Gouv
257.0,Institut national de la santé et de la recherche médicale, infectiologie et microbiologie,150892.0,,1,Recherche Data Gouv
258.0,Data_UMontpellier,,150975.0,,1,Recherche Data Gouv
259.0,Entrepôt de données INSHEA,,152471.0,,1,Recherche Data Gouv
260.0,Sorbonne Université,Données associées aux mémoires de master de Sorbonne Université,152472.0,179083,1,Recherche Data Gouv
261.0,Arts et Métiers Sciences et technologies - Arts et Metiers Institute of Technology,,152473.0,,1,Recherche Data Gouv
262.0,Université Paris-Saclay,JUstice In Climate Change Exposure (JUICCE),157728.0,171135,1,Recherche Data Gouv
263.0,Université Paris-Saclay, Acompañamiento para la Gobernanza Adaptiva de la Tierra en Apurímac (AGATA),157728.0, 172581,1,Recherche Data Gouv
264.0,Université Paris-Saclay, Chaire CoPack,157728.0, 188811,1,Recherche Data Gouv
265.0,Data Paris 8,,158629.0,,1,Recherche Data Gouv
266.0,Université d'Artois,UCCS,160283.0,176254,1,Recherche Data Gouv
267.0,Institut Pasteur,,160284.0,,1,Recherche Data Gouv
268.0,ONERA,,160285.0,,1,Recherche Data Gouv
269.0,Data UPPA,,161753.0,,1,Recherche Data Gouv
270.0,Université de Rennes,UMR CNRS 6226 - Institut des sciences chimiques de Rennes (ISCR),162882.0,163908,1,Recherche Data Gouv
271.0,Université de Rennes, UMR 6118 - Géosiences Rennes,162882.0, 163915,1,Recherche Data Gouv
272.0,Université de Rennes, UMR INRAE 1349 - Institut de génétique,162882.0, 163927,1,Recherche Data Gouv
273.0,Université de Rennes, environnement et protection des plantes (IGEPP),162882.0, 163928,1,Recherche Data Gouv
274.0,Université de Rennes, UMR INSERM 1241 / UMR INRAE 1341 - Nutrition,162882.0, 178981,1,Recherche Data Gouv
275.0,Université de Rennes, Métabolismes et Cancer (NuMeCan),162882.0,,1,Recherche Data Gouv
276.0,Université de Rennes, UMR 6553 - Ecobio - Ecosystèmes,162882.0,,1,Recherche Data Gouv
277.0,Université de Rennes, Biodiversité,162882.0,,1,Recherche Data Gouv
278.0,Université de Rennes, Evolution,162882.0,,1,Recherche Data Gouv
279.0,CNRS Research Data,BETA,163280.0,161262,1,Recherche Data Gouv
280.0,CNRS Research Data, ICMCB,163280.0, 167583,1,Recherche Data Gouv
281.0,CNRS Research Data, Dat@OSUC,163280.0, 175564,1,Recherche Data Gouv
282.0,CNRS Research Data, dataLNCMI,163280.0, 178605,1,Recherche Data Gouv
283.0,CNRS Research Data, IDEES,163280.0, 191897,1,Recherche Data Gouv
