,Date,location,groupPublished,Org,cl_topic.langfre,keywordType-place.langfre,cl_topic.default,keywordType-place.default,th_external-place-departements.default,th_external-place-departements.langfre,th_external-place-ore.default,th_otherKeywords-place.default,th_otherKeywords-place.langfre,th_external-place-thematiques.default,th_external-place-ore.langfre,th_external-place-thematiques.langfre,resourceTitleObject.default,cl_useConstraints.default,uuid,format,owner,recordOwner,standardNameObject.default,ZAA,ZAAJ,ZAAR,ZAEU,ZAS,ZAM,ZABRI,ZABR,ZAL,ZAPygar,Year,long,lat
18,2024-04-26 11:59:52.955000+00:00,"{
  ""coordinates"": [
    3.74,
    50.205
  ],
  ""type"": ""Point""
}",InDoRES,edysan (ecologie et dynamique des systèmes anthropisés) - umr 7058 - cnrs/upjv,-,-,Environment,France,-,-,-,-,-,-,-,-,Airborne LiDAR data of Mormal forest - IMPRINT,License,414b31ff-cf1b-4e49-a74f-0903c24a9875,xls,114,Noémie Tomadini,ISO 19115:2003/19139,,,,,,,,,,,2024,3.74,50.205
19,2024-04-26 11:50:25.557000+00:00,"{
  ""coordinates"": [
    1.26,
    47.57
  ],
  ""type"": ""Point""
}",InDoRES,edysan (ecologie et dynamique des systèmes anthropisés) - umr 7058 - cnrs/upjv,-,-,Environment,France,-,-,-,-,-,-,-,-,Airborne LiDAR data of Blois forest - IMPRINT,License,68ec2408-6413-4e03-8731-606bdc5e2e49,xls,114,Noémie Tomadini,ISO 19115:2003/19139,,,,,,,,,,,2024,1.26,47.57
20,2024-04-26 11:33:40.087000+00:00,"{
  ""coordinates"": [
    3.545,
    44.099999999999994
  ],
  ""type"": ""Point""
}",InDoRES,edysan (ecologie et dynamique des systèmes anthropisés) - umr 7058 - cnrs/upjv,-,-,Environment,France,-,-,-,-,-,-,-,-,Airborne LiDAR data of Aigoual forest - IMPRINT,License,5894ff00-8179-42df-afec-56f2823a42ca,xls,114,Noémie Tomadini,ISO 19115:2003/19139,,,,,,,,,,,2024,3.545,44.099999999999994
21,2024-04-26 11:19:31.657000+00:00,"{
  ""coordinates"": [
    3.74,
    50.205
  ],
  ""type"": ""Point""
}",InDoRES,edysan (ecologie et dynamique des systèmes anthropisés) - umr 7058 - cnrs/upjv,-,-,Environment,France,-,-,-,-,-,-,-,-,Tree surveys of Mormal forest - IMPRINT,License,3aabe9d8-6365-4c1b-ae27-c544f128f8c5,xls,114,Noémie Tomadini,ISO 19115:2003/19139,,,,,,,,,,,2024,3.74,50.205
22,2024-04-26 11:03:14.063000+00:00,"{
  ""coordinates"": [
    1.26,
    47.57
  ],
  ""type"": ""Point""
}",InDoRES,edysan (ecologie et dynamique des systèmes anthropisés) - umr 7058 - cnrs/upjv,-,-,Environment,France,-,-,-,-,-,-,-,-,Tree surveys of Blois forest - IMPRINT,License,87a72a53-32ab-4b2d-9957-0ad9348212e2,xls,114,Noémie Tomadini,ISO 19115:2003/19139,,,,,,,,,,,2024,1.26,47.57
23,2024-04-26 10:53:42.520000+00:00,"{
  ""coordinates"": [
    3.545,
    44.099999999999994
  ],
  ""type"": ""Point""
}",InDoRES,edysan (ecologie et dynamique des systèmes anthropisés) - umr 7058 - cnrs/upjv,-,-,Environment,France,-,-,-,-,-,-,-,-,Tree surveys of Aigoual forest - IMPRINT,License,684fb54a-eb5e-4b0d-bca6-b0e04e34e4ba,xls,114,Noémie Tomadini,ISO 19115:2003/19139,,,,,,,,,,,2024,3.545,44.099999999999994
24,2024-04-26 10:34:02.107000+00:00,"{
  ""coordinates"": [
    3.74,
    50.205
  ],
  ""type"": ""Point""
}",InDoRES,edysan (ecologie et dynamique des systèmes anthropisés) - umr 7058 - cnrs/upjv,-,-,Location,France,-,-,-,-,-,-,-,-,Plots of Mormal forest - IMPRINT,License,dfda1594-07bc-46ee-bb29-49947ea16dcf,esri shapefile,114,Noémie Tomadini,ISO 19115:2003/19139,,,,,,,,,,,2024,3.74,50.205
25,2024-04-26 10:22:09.545000+00:00,"{
  ""coordinates"": [
    1.26,
    47.57
  ],
  ""type"": ""Point""
}",InDoRES,edysan (ecologie et dynamique des systèmes anthropisés) - umr 7058 - cnrs/upjv,-,-,Location,France,-,-,-,-,-,-,-,-,Plots of Blois forest - IMPRINT,License,be0ce4b2-4c98-48b6-9815-402052cba532,esri shapefile,114,Noémie Tomadini,ISO 19115:2003/19139,,,,,,,,,,,2024,1.26,47.57
26,2024-04-26 09:39:24.637000+00:00,"{
  ""coordinates"": [
    3.545,
    44.099999999999994
  ],
  ""type"": ""Point""
}",InDoRES,edysan (ecologie et dynamique des systèmes anthropisés) - umr 7058 - cnrs/upjv,-,-,Location,France,-,-,-,-,-,-,-,-,Plots of Aigoual forest - IMPRINT,License,0e5d41e5-cc4f-4293-9b33-a1f54dce9260,esri shapefile,114,Noémie Tomadini,ISO 19115:2003/19139,,,,,,,,,,,2024,3.545,44.099999999999994
27,2024-04-25 11:44:53.771000+00:00,"{
  ""coordinates"": [
    3.74,
    50.205
  ],
  ""type"": ""Point""
}",InDoRES,edysan (ecologie et dynamique des systèmes anthropisés) - umr 7058 - cnrs/upjv,-,-,Biota,France,-,-,-,-,-,-,-,-,Floristic surveys of Mormal forest - IMPRINT,License,e060bcda-dd64-494f-abfe-daccec900410,xls,114,Noémie Tomadini,ISO 19115:2003/19139,,,,,,,,,,,2024,3.74,50.205
28,2024-04-25 11:32:37.208000+00:00,"{
  ""coordinates"": [
    1.26,
    47.57
  ],
  ""type"": ""Point""
}",InDoRES,edysan (ecologie et dynamique des systèmes anthropisés) - umr 7058 - cnrs/upjv,-,-,Biota,France,-,-,-,-,-,-,-,-,Floristic surveys of Blois forest - IMPRINT,License,0a4b8475-4357-482c-9b4d-42c4c62623df,xls,114,Noémie Tomadini,ISO 19115:2003/19139,,,,,,,,,,,2024,1.26,47.57
29,2024-04-25 10:28:08.819000+00:00,"{
  ""coordinates"": [
    3.545,
    44.099999999999994
  ],
  ""type"": ""Point""
}",InDoRES,edysan (ecologie et dynamique des systèmes anthropisés) - umr 7058 - cnrs/upjv,-,-,Biota,France,-,-,-,-,-,-,-,-,Floristic surveys of Aigoual forest - IMPRINT,License,ef2ae275-e5e5-4068-bdaa-ec920b630668,xls,114,Noémie Tomadini,ISO 19115:2003/19139,,,,,,,,,,,2024,3.545,44.099999999999994
30,2024-04-25 09:42:00.600000+00:00,"{
  ""coordinates"": [
    2.525,
    47.120000000000005
  ],
  ""type"": ""Point""
}",InDoRES,edysan (ecologie et dynamique des systèmes anthropisés) - umr 7058 - cnrs/upjv,-,-,"Biota, Climatology, meteorology, atmosphere, Geoscientific information",France,-,-,-,-,-,-,-,-,A collection of datasets on forest biodiversity and microclimates in France (2019-2023),License,c0868e3e-8c1a-4082-95a0-027e895c7f23,non renseigné,114,Noémie Tomadini,ISO 19115:2003/19139,,,,,,,,,,,2024,2.525,47.120000000000005
31,2024-04-24 14:28:24.015000+00:00,"{
  ""coordinates"": [
    94.34,
    20.24
  ],
  ""type"": ""Point""
}","InDoRES, all, intranet",umr 7207 cr2p,-,-,Biota,"Myanmar, Myanmar",-,-,-,-,-,-,-,-,Image library for: First fossil woods and palm stems from the mid-Paleocene of Myanmar and implications for biogeography and wood anatomy,License,90fc4aae-f3ef-4088-b70b-bce18c81c558,non renseigné,114,Noémie Tomadini,ISO 19115:2003/19139,,,,,,,,,,,2024,94.34,20.24
32,2024-04-22 11:18:43.613000+00:00,"{
  ""coordinates"": [
    7.75,
    48.575
  ],
  ""type"": ""Point""
}",sample,rza,-,-,"Environment, Society",-,-,-,-,-,-,-,-,-,"Collection of rasters and social ecological indicators for Zone Atelier Environnementale Urbaine, Strasbourg",-,ZAEU-10-48579-PRO-VY7MH3,non renseigné,120,Jérôme Dutroncy,ISO 19115,,,,,,,,,,,2024,7.75,48.575
33,2024-04-17 12:30:22+00:00,"{
  ""coordinates"": [
    -1.671701,
    48.111250999999996
  ],
  ""type"": ""Point""
}",zaar,ecobio umr 6553,"Environnement, Biologie, faune et flore",-,"Environnement, Biologie, faune et flore",-,-,-,-,-,-,-,-,-,"Body size of 11 spider species along an UHI gradient in Rennes (France), 2022 - LTSER Zone Atelier Armorique (ZAAr)",-,87222542-80d3-4326-9957-2108c8e225e6,csv,107,Test Workflow,ISO 19115:2003/19139,,,1,,,,,,,,2024,-1.671701,48.111250999999996
34,2024-04-15 15:02:44+00:00,"{
  ""coordinates"": [
    -1.673728,
    48.2399325
  ],
  ""type"": ""Point""
}",all,{unité de recherche d'affectation de la personne qui crée la métadonnée},"Sciences de la terre, géosciences, Environnement, Biologie, faune et flore",Zone Atelier Armorique ZAAr,"Sciences de la terre, géosciences, Environnement, Biologie, faune et flore",Zone Atelier Armorique ZAAr,-,-,-,Zone Atelier Armorique ZAAr,Zone Atelier Armorique ZAAr,-,-,-,"Test critère Fiche modèle ZAAr 21/10/2021: {quoi}, {où}, {quand} - Zone Atelier Armorique ZAAr créée le 2024-04-15T13:02:44Z",-,79065838-b5bc-475c-889b-3b15072fba52,csv,101,Amandine Henon,ISO 19115:2003/19139,,,,,,,,,,,2024,-1.673728,48.2399325
35,2024-04-11 09:57:29.805000+00:00,"{
  ""coordinates"": [
    3.14,
    45.69
  ],
  ""type"": ""Point""
}","InDoRES, all, intranet",geolab umr6042,Environnement,-,Environnement,-,-,-,-,-,-,-,-,-,Data physico-chimie sources du Puy-de-Dôme Gossaume et al. 2024 Hydrobiologia,-,35732ca1-7991-4124-bc64-69327c45d1d4,non renseigné,114,Noémie Tomadini,ISO 19115:2003/19139,,,,,,,,,,,2024,3.14,45.69
36,2024-04-11 09:04:40.911000+00:00,"{
  ""coordinates"": [
    3.14,
    45.69
  ],
  ""type"": ""Point""
}",InDoRES,geolab umr6042,Limites politiques et administratives,-,Limites politiques et administratives,-,-,-,-,-,-,-,-,-,Data diatomées sources du Puy-de-Dôme Gossaume et al. 2024 Hydrobiologia,-,8382f3e8-12e2-41f4-8e5b-95998288a8c6,non renseigné,114,Noémie Tomadini,ISO 19115:2003/19139,,,,,,,,,,,2024,3.14,45.69
37,2024-04-03 09:55:33.003000+00:00,"{
  ""coordinates"": [
    5.5641,
    45.661950000000004
  ],
  ""type"": ""Point""
}, {
  ""coordinates"": [
    4.695,
    44.31
  ],
  ""type"": ""Point""
}, {
  ""coordinates"": [
    4.76995,
    45.37755
  ],
  ""type"": ""Point""
}, {
  ""coordinates"": [
    4.6243,
    43.86105
  ],
  ""type"": ""Point""
}, {
  ""coordinates"": [
    4.76575,
    45.3782
  ],
  ""type"": ""Point""
}",OHM_VR,umr 5600 evs - ens de lyon,"Eaux intérieures, Hydrographie, Environnement","Rhône, Gardon, OSR, OHM VR, Paléochenal, Bras mort, Brégnier-Cordon, Péage-de-Roussillon, Donzère-Mondragon, Gardon-Vallabrègues","Eaux intérieures, Hydrographie, Environnement","Rhône, Gardon, OSR, OHM VR, Paléochenal, Bras mort, Brégnier-Cordon, Péage-de-Roussillon, Donzère-Mondragon, Gardon-Vallabrègues",-,-,-,"Rhône, Gardon, OSR, OHM VR, Paléochenal, Bras mort","Rhône, Gardon, OSR, OHM VR, Paléochenal, Bras mort",-,-,-,Carottes sédimentaires prélevées dans la plaine du Rhône (2016-2020),-,722636d1-b115-4604-85d0-90fb018331ed,esri shapefile,100,Samuel Dunesme,ISO 19115:2003/19139,,,,,,,,,,,2024,5.5641,45.661950000000004
38,2024-04-02 13:45:57.390000+00:00,"{
  ""coordinates"": [
    5.6907,
    45.65545
  ],
  ""type"": ""Point""
}",OHM_VR,umr 5600 evs - ens de lyon,"Eaux intérieures, Hydrographie","Rhône, OHM VR, OSR, Rhône de Cordon à Yenne","Eaux intérieures, Hydrographie","Rhône, OHM VR, OSR, Rhône de Cordon à Yenne",-,-,-,"Rhône, OHM VR, OSR","Rhône, OHM VR, OSR",-,-,-,Carte du Rhône entre Cordon et Yenne (18e siècle),-,0817980a-efa9-44f7-a48b-612578f165e8,geotiff,100,Samuel Dunesme,ISO 19115:2003/19139,,,,,,,,,,,2024,5.6907,45.65545
39,2024-04-02 11:29:40.540000+00:00,"{
  ""coordinates"": [
    4.9369,
    45.78385
  ],
  ""type"": ""Point""
}",OHM_VR,umr 5600 evs - ens de lyon,"Eaux intérieures, Hydrographie","Rhône, OHM VR, OSR, Rhône de Lyon à Jonage","Eaux intérieures, Hydrographie","Rhône, OHM VR, OSR, Rhône de Lyon à Jonage",-,-,-,"Rhône, OHM VR, OSR","Rhône, OHM VR, OSR",-,-,-,Carte du Rhône de Lyon à Jonage (1837),-,4f9e9bf7-4dc6-4661-8cff-e2c20d67f549,geotiff,100,Samuel Dunesme,ISO 19115:2003/19139,,,,,,,,,,,2024,4.9369,45.78385
40,2024-04-02 11:28:54.436000+00:00,"{
  ""coordinates"": [
    4.3214500000000005,
    43.64085
  ],
  ""type"": ""Point""
}",OHM_VR,umr 5600 evs - ens de lyon,"Eaux intérieures, Hydrographie","Rhône, OHM VR, OSR, Plaine de Beaucaire à Aigues-Mortes","Eaux intérieures, Hydrographie","Rhône, OHM VR, OSR, Plaine de Beaucaire à Aigues-Mortes",-,-,-,"Rhône, OHM VR, OSR","Rhône, OHM VR, OSR",-,-,-,Carte des marais et de la plaine depuis Beaucaire jusqu'à Aiguemortes (18e siècle),-,2784379a-38df-40a4-9792-1258b8144c10,geotiff,100,Samuel Dunesme,ISO 19115:2003/19139,,,,,,,,,,,2024,4.3214500000000005,43.64085
41,2024-04-02 10:52:44.263000+00:00,"{
  ""coordinates"": [
    4.769450000000001,
    45.34085
  ],
  ""type"": ""Point""
}",OHM_VR,umr 5600 evs - ens de lyon,"Biologie, faune et flore","Rhône, OHM VR, Réserve naturelle de l’Ile de la Platière","Biologie, faune et flore","Rhône, OHM VR, Réserve naturelle de l’Ile de la Platière",-,-,-,"Rhône, OHM VR","Rhône, OHM VR",-,-,-,Données de localisation du Peuplier noir dans la Réserve naturelle de l'Ile de La Platière (2022),-,2cba1dc9-b6f1-4358-9daf-69c46efcf1ef,esri shapefile,100,Samuel Dunesme,ISO 19115:2003/19139,,,,,,,,,,,2024,4.769450000000001,45.34085
42,2024-03-28 16:37:13.041000+00:00,"{
  ""coordinates"": [
    4.769450000000001,
    45.34085
  ],
  ""type"": ""Point""
}",OHM_VR,umr 5600 evs - ens de lyon,"Biologie, faune et flore","Rhône, OHM VR, Réserve naturelle de l’Ile de la Platière","Biologie, faune et flore","Rhône, OHM VR, Réserve naturelle de l’Ile de la Platière",-,-,-,"Rhône, OHM VR","Rhône, OHM VR",-,-,-,Données génétiques de Peuplier noir dans la Réserve naturelle de l'Ile de La Platière (2019-2022),-,76d01dcb-da31-459b-9c94-15b9a19adb36,xls,100,Samuel Dunesme,ISO 19115:2003/19139,,,,,,,,,,,2024,4.769450000000001,45.34085
43,2024-03-26 21:07:00.631000+00:00,"{
  ""coordinates"": [
    5.8865,
    45.915
  ],
  ""type"": ""Point""
}, {
  ""coordinates"": [
    5.7626,
    45.5026
  ],
  ""type"": ""Point""
}",OHM_VR,umr 5600 evs - ens de lyon,"Eaux intérieures, Hydrographie","Rhône, Guiers, OHM VR, OSR, Haut-Rhône de Genève à la confluence avec le Guiers ; source du Guiers","Eaux intérieures, Hydrographie","Rhône, Guiers, OHM VR, OSR, Haut-Rhône de Genève à la confluence avec le Guiers ; source du Guiers",-,-,-,"Rhône, Guiers, OHM VR, OSR","Rhône, Guiers, OHM VR, OSR",-,-,-,Carte géométrique du cours du Rhône et du Guyer (1760),-,aebcc37e-fb36-40f5-81a0-c5efc9199ded,geotiff,100,Samuel Dunesme,ISO 19115:2003/19139,,,,,,,,,,,2024,5.8865,45.915
44,2024-03-26 16:57:36.361000+00:00,"{
  ""coordinates"": [
    4.7778,
    45.3352
  ],
  ""type"": ""Point""
}, {
  ""coordinates"": [
    4.775399999999999,
    44.7004
  ],
  ""type"": ""Point""
}, {
  ""coordinates"": [
    4.68215,
    44.3249
  ],
  ""type"": ""Point""
}, {
  ""coordinates"": [
    4.7722,
    43.605599999999995
  ],
  ""type"": ""Point""
}",OHM_VR,umr 5600 evs - ens de lyon,"Eaux intérieures, Hydrographie","Péage-de-Roussillon, Baix-Le-Logis-Neuf, Donzère-Mondragon, Beaucaire jusqu'à la mer","Eaux intérieures, Hydrographie","Péage-de-Roussillon, Baix-Le-Logis-Neuf, Donzère-Mondragon, Beaucaire jusqu'à la mer",-,-,-,-,-,-,-,-,Tableaux d'assemblage du Cadastre Napoléonien du Rhône médian et aval (1810-1832),-,f13565c2-42ad-48ff-9be5-a527de447479,jpeg,100,Samuel Dunesme,ISO 19115:2003/19139,,,,,,,,,,,2024,4.7778,45.3352
45,2024-03-22 09:38:03.669000+00:00,"{
  ""coordinates"": [
    4.6781500000000005,
    44.314750000000004
  ],
  ""type"": ""Point""
}, {
  ""coordinates"": [
    5.6135,
    45.63995
  ],
  ""type"": ""Point""
}, {
  ""coordinates"": [
    4.78075,
    45.33495
  ],
  ""type"": ""Point""
}",OHM_VR,umr 5600 evs - ens de lyon,"Biologie, faune et flore","OHM VR, Rhône, Brégnier-Cordon, Péage-de-Roussillon, Donzère-Mondragon","Biologie, faune et flore","OHM VR, Rhône, Brégnier-Cordon, Péage-de-Roussillon, Donzère-Mondragon",-,-,-,"OHM VR, Rhône","OHM VR, Rhône",-,-,-,Données écophysiologiques recueillies sur des peupliers blancs (Populus alba) le long du Rhône (2022-2023),-,1f13720b-87c2-4d3d-93e6-8aad7a57f453,xls,100,Samuel Dunesme,ISO 19115:2003/19139,,,,,,,,,,,2024,4.6781500000000005,44.314750000000004
46,2024-03-21 22:23:18.519000+00:00,"{
  ""coordinates"": [
    4.7231,
    43.4269
  ],
  ""type"": ""Point""
}",OHM_VR,umr 5600 evs - ens de lyon,Altimétrie,"Delta du Rhône, OHM VR, Delta du Rhône",Altimétrie,"Delta du Rhône, OHM VR, Delta du Rhône",-,-,-,"Delta du Rhône, OHM VR","Delta du Rhône, OHM VR",-,-,-,MNT haute définition de l'est du delta du Rhône (2021),Droit de propriété intellectuelle / Droit patrimonial,e2a687c4-9972-4463-bc09-ba5602ad4625,geotiff,100,Samuel Dunesme,ISO 19115:2003/19139,,,,,,,,,,,2024,4.7231,43.4269
47,2024-03-21 21:58:19.192000+00:00,"{
  ""coordinates"": [
    4.67685,
    44.3214
  ],
  ""type"": ""Point""
}, {
  ""coordinates"": [
    4.7835,
    45.3373
  ],
  ""type"": ""Point""
}, {
  ""coordinates"": [
    5.61815,
    45.63935
  ],
  ""type"": ""Point""
}",OHM_VR,umr 5600 evs - ens de lyon,"Eaux intérieures, Hydrographie","OHM VR, Rhône, Brégnier-Cordon, Péage-de-Roussillon, Donzère-Mondragon","Eaux intérieures, Hydrographie","OHM VR, Rhône, Brégnier-Cordon, Péage-de-Roussillon, Donzère-Mondragon",-,-,-,"OHM VR, Rhône","OHM VR, Rhône",-,-,-,"Orthophotos et orthomosaïques thermiques du Rhône à Brégnier-Cordon, Péage-de-Roussillon et Donzère-Mondragon (2023)",-,b50d2d6d-629c-48fa-9de6-53e9a5441ba7,orthophotos et orthomosaïques = geotiff  images individuelles rvb = jpeg ; irt = tiff,100,Samuel Dunesme,ISO 19115:2003/19139,,,,,,,,,,,2024,4.67685,44.3214
