createDate,location,groupPublished,Org,format,uuid,"resourceTitleObject.default",recordOwner,"cl_status.default","cl_topic.default","cl_accessConstraints.default","cl_hierarchyLevel.default","keywordType-.default","keywordType-discipline.default","keywordType-location.default","keywordType-place.default","keywordType-stratum.default","keywordType-temporal.default","keywordType-theme.default","otherKeywords-theme.default","th_AGROVOC.default","th_anaee-france_locations.default","th_anaeeThes.default","th_Autre.default","th_Biodiversite_tree.default","th_Biodiversite.default","th_Continentscountriessearegionsoftheworld.default","th_envthes.default","th_ENVTHES.default","th_external-place-departements.default","th_external-place-ore.default","th_external-place-thematiques.default","th_external-theme-gemet.default","th_gemet_tree.default","th_gemet.default","th_GEMETinspirethemes-version1-0.default","th_geobretagne.default","th_Groupthemes.default","th_httpinspireeceuropaeuapplicationschema-applicationschema.default","th_httpinspireeceuropaeutheme-theme_tree.default","th_httpinspireeceuropaeutheme-theme.default","th_inspire-service-taxonomy.default","th_INSPIRE.default","th_INSPIREthemes.default","th_loterre-BHL.default","th_OPENDATA.default","th_otherKeywords-.default","th_otherKeywords-discipline.default","th_otherKeywords-place.default","th_otherKeywords-stratum.default","th_otherKeywords-temporal.default","th_otherKeywords-theme.default","th_prodige.default","th_RegionFR_2017_tree.default","th_RegionFR_2017.default","th_RegionFR.default","th_regions_tree.default","th_regions.default","th_reseaudeszonesateliers.default","th_rza.default"
"Apr 29, 2024 @ 11:04:23.000","-",all,"-","-","86a50b0f-d167-4650-b3a2-bc39d2dbf455","Geoserver WFS Fragments Country Boundaries Test Template","Noémie Tomadini","-","-","-",Dataset,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Apr 29, 2024 @ 11:04:23.000","-",all,"Name of the responsible organization","-","d3ca8075-9383-4251-ac30-d1ecad63186d","Name of the responsible organization (Name of the responsible person- surname, given name, title separated by a delimiter)","Noémie Tomadini","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Apr 29, 2024 @ 11:04:22.000","{
  ""coordinates"": [
    0,
    0
  ],
  ""type"": ""Point""
}",all,"-","-","81e09b35-ff4f-4f33-b9a9-9ab766652679","Template for Vector data in ISO19139 (multilingual)","Noémie Tomadini","On going",Boundaries,Copyright,"-","-","-","-",World,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",World,"-","-","-","-","-","-","-","-","-","-","-"
"Apr 29, 2024 @ 11:04:22.000","-",all,"-","-","d3cb57b1-27d9-4fff-bf69-b8a7e7260ab1","-","Noémie Tomadini","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Apr 26, 2024 @ 15:11:14.356","{
  ""coordinates"": [
    -61.840999999999994,
    16.103
  ],
  ""type"": ""Point""
}","InDoRES, all, intranet","CNRS UMR 7205 ISYEB, CNRS UMR 7205 ISYEB","-","ab59e71b-9e22-45a9-b172-f21043caef5b","eDNA-based survey of the marine vertebrate biodiversity off the west coast of Guadeloupe (French West Indies)","Noémie Tomadini",Completed,Biota,"Intellectual property rights","-","Occurrences, Environmental-DNA, West Indies, 12S Mitochondrial Ribosomal RNA, Metabarcoding, Guadeloupe","-","-","-","-","-","fauna, Species distribution, vertebrate","-","-","-","-","-","ecological system, ecological system^ecosphere, ecological system^ecosphere^biosphere, ecological system^ecosphere^biosphere^ecosystem, ecological system^ecosphere^biosphere^ecosystem^biocenosis, ecological system^ecosphere^biosphere^ecosystem^biocenosis^biota, ecological system^ecosphere^biosphere^ecosystem^biocenosis^biota^fauna",fauna,"-","-","-","-","-","-","-","-","-","-","-","-","-","Species distribution","Species distribution","-","-","-","-","-","Occurrences, Environmental-DNA, West Indies, 12S Mitochondrial Ribosomal RNA, Metabarcoding, Guadeloupe","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Apr 26, 2024 @ 14:36:36.367","{
  ""coordinates"": [
    3.74,
    50.205
  ],
  ""type"": ""Point""
}",InDoRES,"EDYSAN (Ecologie et Dynamique des Systèmes Anthropisés) - UMR 7058 - CNRS/UPJV, EDYSAN (Ecologie et Dynamique des Systèmes Anthropisés) - UMR 7058 - CNRS/UPJV",TXT,"8fbd7aee-5347-4771-80e9-7099f50857db","Temperature time series of Mormal forest - IMPRINT","Noémie Tomadini","On going","Climatology, meteorology, atmosphere","Intellectual property rights","-","séries temporelles, température du sol","-","-",France,"-","-","forest ecology, forest, microclimate, thermal factor, Meteorological geographical features, Environmental monitoring facilities, forest ecology, forest, microclimate, temperature, air temperature","-","-","-","-","-","ecological parameter, ecological parameter^environmental factor, ecological parameter^environmental factor^abiotic factor, ecological parameter^environmental factor^abiotic factor^climatic factor, ecological parameter^environmental factor^abiotic factor^climatic factor^microclimate, ecological parameter^environmental factor^abiotic factor^thermal factor, ecological system, ecological system^ecosphere, ecological system^ecosphere^biosphere, ecological system^ecosphere^biosphere^ecosystem, ecological system^ecosphere^biosphere^ecosystem^forest, ecological system^landscape, ecological system^landscape^vegetation, ecological system^landscape^vegetation^vegetation type, ecological system^landscape^vegetation^vegetation type^forest, ecology, ecology^forest ecology, environment, environment^landscape, environment^landscape^vegetation, environment^landscape^vegetation^vegetation type, environment^landscape^vegetation^vegetation type^forest","forest ecology, forest, microclimate, thermal factor","-","-","-","-","-","-","-","-","-","-","-","-","-","Environmental monitoring facilities, Meteorological geographical features","Meteorological geographical features, Environmental monitoring facilities","-","-","-","-","-","séries temporelles, température du sol","-","-","-","-","-","-","-","-","-","EEA32 (2006-2013), EEA32 (2006-2013)^France, EEA32 (from 2020), EEA32 (from 2020)^France, EEA33 (2013-2020), EEA33 (2013-2020)^France, EEA38 (from 2020), EEA38 (from 2020)^France, EEA39, EEA39^France, EU12, EU12^France, EU15, EU15^France, EU25, EU25^France, EU27 (2007-2013), EU27 (2007-2013)^France, EU27 (from 2020), EU27 (from 2020)^France, EU28 (2013-2020), EU28 (2013-2020)^France, Europe, Europe^France",France,"-","-"
"Apr 26, 2024 @ 14:28:16.973","{
  ""coordinates"": [
    1.26,
    47.57
  ],
  ""type"": ""Point""
}",InDoRES,"-",TXT,"4f4bee16-79dc-4ee2-ba6b-5a81a35be66e","Temperature time series of Blois forest - IMPRINT","Noémie Tomadini",Completed,"Climatology, meteorology, atmosphere","Intellectual property rights","-","séries temporelles, température du sol","-","-",France,"-","-","forest ecology, forest, microclimate, thermal factor, Meteorological geographical features, Environmental monitoring facilities, forest ecology, forest, microclimate, temperature, air temperature","-","-","-","-","-","ecological parameter, ecological parameter^environmental factor, ecological parameter^environmental factor^abiotic factor, ecological parameter^environmental factor^abiotic factor^climatic factor, ecological parameter^environmental factor^abiotic factor^climatic factor^microclimate, ecological parameter^environmental factor^abiotic factor^thermal factor, ecological system, ecological system^ecosphere, ecological system^ecosphere^biosphere, ecological system^ecosphere^biosphere^ecosystem, ecological system^ecosphere^biosphere^ecosystem^forest, ecological system^landscape, ecological system^landscape^vegetation, ecological system^landscape^vegetation^vegetation type, ecological system^landscape^vegetation^vegetation type^forest, ecology, ecology^forest ecology, environment, environment^landscape, environment^landscape^vegetation, environment^landscape^vegetation^vegetation type, environment^landscape^vegetation^vegetation type^forest","forest ecology, forest, microclimate, thermal factor","-","-","-","-","-","-","-","-","-","-","-","-","-","Environmental monitoring facilities, Meteorological geographical features","Meteorological geographical features, Environmental monitoring facilities","-","-","-","-","-","séries temporelles, température du sol","-","-","-","-","-","-","-","-","-","EEA32 (2006-2013), EEA32 (2006-2013)^France, EEA32 (from 2020), EEA32 (from 2020)^France, EEA33 (2013-2020), EEA33 (2013-2020)^France, EEA38 (from 2020), EEA38 (from 2020)^France, EEA39, EEA39^France, EU12, EU12^France, EU15, EU15^France, EU25, EU25^France, EU27 (2007-2013), EU27 (2007-2013)^France, EU27 (from 2020), EU27 (from 2020)^France, EU28 (2013-2020), EU28 (2013-2020)^France, Europe, Europe^France",France,"-","-"
"Apr 26, 2024 @ 14:18:37.457","{
  ""coordinates"": [
    3.545,
    44.099999999999994
  ],
  ""type"": ""Point""
}",InDoRES,"EDYSAN (Ecologie et Dynamique des Systèmes Anthropisés) - UMR 7058 - CNRS/UPJV, EDYSAN (Ecologie et Dynamique des Systèmes Anthropisés) - UMR 7058 - CNRS/UPJV",TXT,"b69fea4b-587f-4116-b156-dd6a8d7442b3","Temperature time series of Aigoual forest - IMPRINT","Noémie Tomadini",Completed,"Climatology, meteorology, atmosphere","Intellectual property rights","-","séries temporelles, température du sol","-","-",France,"-","-","forest ecology, forest, microclimate, thermal factor, Meteorological geographical features, Environmental monitoring facilities, forest ecology, forest, microclimate, temperature, air temperature","-","-","-","-","-","ecological parameter, ecological parameter^environmental factor, ecological parameter^environmental factor^abiotic factor, ecological parameter^environmental factor^abiotic factor^climatic factor, ecological parameter^environmental factor^abiotic factor^climatic factor^microclimate, ecological parameter^environmental factor^abiotic factor^thermal factor, ecological system, ecological system^ecosphere, ecological system^ecosphere^biosphere, ecological system^ecosphere^biosphere^ecosystem, ecological system^ecosphere^biosphere^ecosystem^forest, ecological system^landscape, ecological system^landscape^vegetation, ecological system^landscape^vegetation^vegetation type, ecological system^landscape^vegetation^vegetation type^forest, ecology, ecology^forest ecology, environment, environment^landscape, environment^landscape^vegetation, environment^landscape^vegetation^vegetation type, environment^landscape^vegetation^vegetation type^forest","forest ecology, forest, microclimate, thermal factor","-","-","-","-","-","-","-","-","-","-","-","-","-","Environmental monitoring facilities, Meteorological geographical features","Meteorological geographical features, Environmental monitoring facilities","-","-","-","-","-","séries temporelles, température du sol","-","-","-","-","-","-","-","-","-","EEA32 (2006-2013), EEA32 (2006-2013)^France, EEA32 (from 2020), EEA32 (from 2020)^France, EEA33 (2013-2020), EEA33 (2013-2020)^France, EEA38 (from 2020), EEA38 (from 2020)^France, EEA39, EEA39^France, EU12, EU12^France, EU15, EU15^France, EU25, EU25^France, EU27 (2007-2013), EU27 (2007-2013)^France, EU27 (from 2020), EU27 (from 2020)^France, EU28 (2013-2020), EU28 (2013-2020)^France, Europe, Europe^France",France,"-","-"
"Apr 26, 2024 @ 11:59:52.955","{
  ""coordinates"": [
    3.74,
    50.205
  ],
  ""type"": ""Point""
}",InDoRES,"EDYSAN (Ecologie et Dynamique des Systèmes Anthropisés) - UMR 7058 - CNRS/UPJV, EDYSAN (Ecologie et Dynamique des Systèmes Anthropisés) - UMR 7058 - CNRS/UPJV","XLS, ASC","414b31ff-cf1b-4e49-a74f-0903c24a9875","Airborne LiDAR data of Mormal forest - IMPRINT","Noémie Tomadini",Completed,Environment,"Intellectual property rights","-","LiDAR aéroporté, images 3D, structure forestière, complexité verticale, hauteur max de canopée, densité de recouvrement, Plant Area Index (PAI)","-","-",France,"-","-","forest ecology, forest, afforestation, remote sensing, Elevation, forest ecology, forest, altitude, remote sensing","-","-","-","-","-","applied ecology, applied ecology^environmental management, applied ecology^environmental management^land use planning, applied ecology^environmental management^land use planning^afforestation, applied ecology^environmental methodology, applied ecology^environmental methodology^remote sensing, ecological system, ecological system^ecosphere, ecological system^ecosphere^biosphere, ecological system^ecosphere^biosphere^ecosystem, ecological system^ecosphere^biosphere^ecosystem^forest, ecological system^landscape, ecological system^landscape^vegetation, ecological system^landscape^vegetation^vegetation type, ecological system^landscape^vegetation^vegetation type^forest, ecology, ecology^forest ecology, environment, environment^landscape, environment^landscape^vegetation, environment^landscape^vegetation^vegetation type, environment^landscape^vegetation^vegetation type^forest","forest ecology, forest, afforestation, remote sensing","-","-","-","-","-","-","-","-","-","-","-","-","-",Elevation,Elevation,"-","-","-","-","-","LiDAR aéroporté, images 3D, structure forestière, complexité verticale, hauteur max de canopée, densité de recouvrement, Plant Area Index (PAI)","-","-","-","-","-","-","-","-","-","EEA32 (2006-2013), EEA32 (2006-2013)^France, EEA32 (from 2020), EEA32 (from 2020)^France, EEA33 (2013-2020), EEA33 (2013-2020)^France, EEA38 (from 2020), EEA38 (from 2020)^France, EEA39, EEA39^France, EU12, EU12^France, EU15, EU15^France, EU25, EU25^France, EU27 (2007-2013), EU27 (2007-2013)^France, EU27 (from 2020), EU27 (from 2020)^France, EU28 (2013-2020), EU28 (2013-2020)^France, Europe, Europe^France",France,"-","-"
"Apr 26, 2024 @ 11:50:25.557","{
  ""coordinates"": [
    1.26,
    47.57
  ],
  ""type"": ""Point""
}",InDoRES,"EDYSAN (Ecologie et Dynamique des Systèmes Anthropisés) - UMR 7058 - CNRS/UPJV, EDYSAN (Ecologie et Dynamique des Systèmes Anthropisés) - UMR 7058 - CNRS/UPJV",XLS,"68ec2408-6413-4e03-8731-606bdc5e2e49","Airborne LiDAR data of Blois forest - IMPRINT","Noémie Tomadini",Completed,Environment,"Intellectual property rights","-","LiDAR aéroporté, images 3D, structure forestière, complexité verticale, hauteur max de canopée, densité de recouvrement, Plant Area Index (PAI)","-","-",France,"-","-","forest ecology, forest, afforestation, remote sensing, Elevation, forest ecology, forest, altitude, remote sensing","-","-","-","-","-","applied ecology, applied ecology^environmental management, applied ecology^environmental management^land use planning, applied ecology^environmental management^land use planning^afforestation, applied ecology^environmental methodology, applied ecology^environmental methodology^remote sensing, ecological system, ecological system^ecosphere, ecological system^ecosphere^biosphere, ecological system^ecosphere^biosphere^ecosystem, ecological system^ecosphere^biosphere^ecosystem^forest, ecological system^landscape, ecological system^landscape^vegetation, ecological system^landscape^vegetation^vegetation type, ecological system^landscape^vegetation^vegetation type^forest, ecology, ecology^forest ecology, environment, environment^landscape, environment^landscape^vegetation, environment^landscape^vegetation^vegetation type, environment^landscape^vegetation^vegetation type^forest","forest ecology, forest, afforestation, remote sensing","-","-","-","-","-","-","-","-","-","-","-","-","-",Elevation,Elevation,"-","-","-","-","-","LiDAR aéroporté, images 3D, structure forestière, complexité verticale, hauteur max de canopée, densité de recouvrement, Plant Area Index (PAI)","-","-","-","-","-","-","-","-","-","EEA32 (2006-2013), EEA32 (2006-2013)^France, EEA32 (from 2020), EEA32 (from 2020)^France, EEA33 (2013-2020), EEA33 (2013-2020)^France, EEA38 (from 2020), EEA38 (from 2020)^France, EEA39, EEA39^France, EU12, EU12^France, EU15, EU15^France, EU25, EU25^France, EU27 (2007-2013), EU27 (2007-2013)^France, EU27 (from 2020), EU27 (from 2020)^France, EU28 (2013-2020), EU28 (2013-2020)^France, Europe, Europe^France",France,"-","-"
"Apr 26, 2024 @ 11:33:40.087","{
  ""coordinates"": [
    3.545,
    44.099999999999994
  ],
  ""type"": ""Point""
}",InDoRES,"EDYSAN (Ecologie et Dynamique des Systèmes Anthropisés) - UMR 7058 - CNRS/UPJV, EDYSAN (Ecologie et Dynamique des Systèmes Anthropisés) - UMR 7058 - CNRS/UPJV",XLS,"5894ff00-8179-42df-afec-56f2823a42ca","Airborne LiDAR data of Aigoual forest - IMPRINT","Noémie Tomadini",Completed,Environment,"Intellectual property rights","-","LiDAR aéroporté, images 3D, structure forestière, complexité verticale, hauteur max de canopée, densité de recouvrement, Plant Area Index (PAI)","-","-",France,"-","-","forest ecology, forest, afforestation, remote sensing, Elevation, forest ecology, forest, altitude, remote sensing","-","-","-","-","-","applied ecology, applied ecology^environmental management, applied ecology^environmental management^land use planning, applied ecology^environmental management^land use planning^afforestation, applied ecology^environmental methodology, applied ecology^environmental methodology^remote sensing, ecological system, ecological system^ecosphere, ecological system^ecosphere^biosphere, ecological system^ecosphere^biosphere^ecosystem, ecological system^ecosphere^biosphere^ecosystem^forest, ecological system^landscape, ecological system^landscape^vegetation, ecological system^landscape^vegetation^vegetation type, ecological system^landscape^vegetation^vegetation type^forest, ecology, ecology^forest ecology, environment, environment^landscape, environment^landscape^vegetation, environment^landscape^vegetation^vegetation type, environment^landscape^vegetation^vegetation type^forest","forest ecology, forest, afforestation, remote sensing","-","-","-","-","-","-","-","-","-","-","-","-","-",Elevation,Elevation,"-","-","-","-","-","LiDAR aéroporté, images 3D, structure forestière, complexité verticale, hauteur max de canopée, densité de recouvrement, Plant Area Index (PAI)","-","-","-","-","-","-","-","-","-","EEA32 (2006-2013), EEA32 (2006-2013)^France, EEA32 (from 2020), EEA32 (from 2020)^France, EEA33 (2013-2020), EEA33 (2013-2020)^France, EEA38 (from 2020), EEA38 (from 2020)^France, EEA39, EEA39^France, EU12, EU12^France, EU15, EU15^France, EU25, EU25^France, EU27 (2007-2013), EU27 (2007-2013)^France, EU27 (from 2020), EU27 (from 2020)^France, EU28 (2013-2020), EU28 (2013-2020)^France, Europe, Europe^France",France,"-","-"
